datetime,lat,lon,p,t,s,o2_t,fchl,fdom,par,tilt,tilt_std,sigma,poc,bbp,cphyto,chla_adj,o2_c
2017-10-13 07:42:10,48.6409,-39.576,0.2,14.43,34.745,-0.00366103873192,0.671976,1.9995,-0.000828632831,11.4,nan,25.9035852141,25.6963151502,0.00113196079132,19.3209892408,0.281455172414,12.4424986811
2017-10-13 07:42:10,48.6409,-39.576,2.0,14.454,34.739,-0.00366103873098,0.665754,1.9866,-0.000828632831,9.9,nan,25.8938795832,23.8452910298,0.00107970445005,18.4562835252,0.278773275862,12.4442831558
2017-10-13 07:42:10,48.6409,-39.576,4.0,14.454,34.739,-0.00366103873137,0.688568,1.9866,-0.00131606390806,7.1,nan,25.893944956,24.4627697891,0.00109713651937,18.7447386601,0.288606896552,12.4397400014
2017-10-13 07:42:10,48.6409,-39.576,6.1,14.453,34.739,-0.00366103873152,0.69479,1.9995,-0.00131606390806,6.4,nan,25.894227602,24.61710311,0.00110149350997,18.8168354541,0.291288793103,12.4426638964
2017-10-13 07:42:10,48.6409,-39.576,8.0,14.453,34.739,-0.00366103873165,0.69479,1.9866,-0.00131606390806,5.7,nan,25.8942897149,24.8486576447,0.00110803053596,18.9250061297,0.291288793103,12.4389637483
2017-10-13 07:42:10,48.6409,-39.576,9.9,14.454,34.739,-0.0036610387314,0.7259,1.9866,-0.000828632831,4.7,nan,25.8941378487,24.7715091688,0.00110585255403,18.8889662276,0.304698275862,12.436519783
2017-10-13 07:42:10,48.6409,-39.576,12.0,14.46,34.739,-0.00366103873064,0.703086,1.9737,-0.00131606390806,3.5,1.94,25.8929107204,23.9998788663,0.00108406862589,18.5284992161,0.294864655172,12.4312871485
2017-10-13 07:42:10,48.6409,-39.576,14.0,14.459,34.739,-0.00366103873078,0.763232,1.9866,-0.000828632831,2.9,1.29,25.8931784697,24.0770273614,0.00108624660836,18.5645391272,0.320789655172,12.4368830361
2017-10-13 07:42:10,48.6409,-39.576,16.0,14.461,34.739,-0.00366103873057,0.734196,1.9995,-0.00229092606217,3.2,1.64,25.892804132,25.0033181967,0.00111239676463,18.9972557896,0.308274137931,12.4319802688
2017-10-13 07:42:10,48.6409,-39.576,18.0,14.464,34.739,-0.00366103873017,0.7259,1.9737,-0.00180349498511,3.0,1.08,25.892215731,25.080612062,0.00111457885105,19.0333636104,0.304698275862,12.4336307549
2017-10-13 07:42:10,48.6409,-39.576,20.0,14.464,34.739,-0.00366103873017,0.769454,2.0124,-0.00131606390806,3.0,1.44,25.8922694952,24.4631333027,0.00109714678174,18.7449084754,0.323471551724,12.4283996815
2017-10-13 07:42:10,48.6409,-39.576,22.0,14.465,34.739,-0.00366103873016,0.730048,2.0124,-0.00131606390806,2.6,0.51,25.8921415497,24.4631696364,0.00109714780748,18.7449254487,0.306486206897,12.430379566
2017-10-13 07:42:10,48.6409,-39.576,24.0,14.463,34.739,-0.0036610387304,0.719678,1.9608,-0.00180349498511,2.5,1.02,25.8926557593,22.9965849124,0.00105574459128,18.0598105552,0.30201637931,12.4280697401
2017-10-13 07:42:10,48.6409,-39.576,26.0,14.464,34.739,-0.00366103873041,0.730048,1.9737,-0.00131606390806,2.7,1.01,25.8925278438,24.4631333027,0.00109714678174,18.7449084754,0.306486206897,12.4231219689
2017-10-13 07:42:10,48.6409,-39.576,28.0,14.464,34.739,-0.00366103873045,0.723826,1.9866,-0.00131606390806,2.5,0.46,25.8926139749,23.5369151637,0.00107099867776,18.312225773,0.303804310345,12.4231219689
2017-10-13 07:42:10,48.6409,-39.576,30.0,14.464,34.739,-0.00366103873042,0.730048,1.9866,-0.000828632831,2.5,0.55,25.8927001135,24.154393923,0.00108843074708,18.600680908,0.306486206897,12.4221327182
2017-10-13 07:42:10,48.6409,-39.576,32.0,14.461,34.739,-0.0036610387311,0.707234,1.9866,-0.00131606390806,2.5,0.66,25.8934253394,24.4630242823,0.00109714370398,18.7448575466,0.296652586207,12.4152107946
2017-10-13 07:42:10,48.6409,-39.576,34.0,14.459,34.739,-0.00366103873144,0.740418,1.9866,-0.00131606390806,2.5,0.47,25.8939364903,23.7682879818,0.0010775305737,18.4203115597,0.310956034483,12.4148813028
2017-10-13 07:42:10,48.6409,-39.576,36.0,14.458,34.74,-0.00366103873147,0.7259,1.9737,-0.00131606390806,2.4,0.51,25.8950053971,23.69097706,0.00107534800576,18.3841957711,0.304698275862,12.4138928945
2017-10-13 07:42:10,48.6409,-39.576,38.0,14.459,34.74,-0.00366103873154,0.717604,1.9866,-0.00131606390806,2.4,0.46,25.8948746371,23.8453831034,0.00107970704939,18.4563265373,0.301122413793,12.4152107946
2017-10-13 07:42:10,48.6409,-39.576,40.0,14.462,34.739,-0.00366103873111,0.717604,1.9995,-0.00131606390806,2.4,0.28,25.8935441884,24.3858757807,0.00109496572132,18.7088176325,0.301122413793,12.4116364076
2017-10-13 07:42:10,48.6409,-39.576,42.0,14.465,34.739,-0.00366103873085,0.723826,1.9737,-0.00180349498511,2.4,0.37,25.8929908968,24.5403544813,0.00109932681614,18.7809823406,0.303804310345,12.4069768645
2017-10-13 07:42:10,48.6409,-39.576,44.0,14.463,34.739,-0.00366103873123,0.71553,1.9866,-0.00131606390806,2.4,0.47,25.8935075684,24.9262060353,0.0011102198079,18.9612328519,0.300228448276,12.4053309197
2017-10-13 07:42:10,48.6409,-39.576,46.0,14.464,34.739,-0.00366103873119,0.71553,1.9608,-0.00131606390806,2.4,0.3,25.8933822849,23.6141000086,0.00107317768643,18.3482826649,0.300228448276,12.4075200878
2017-10-13 07:42:10,48.6409,-39.576,48.0,14.466,34.739,-0.00366103873105,0.71553,1.9995,-0.00131606390806,2.4,0.27,25.8930430209,24.0000968975,0.00108407478114,18.5286010693,0.300228448276,12.3995723197
2017-10-13 07:42:10,48.6409,-39.576,50.0,14.467,34.739,-0.00366103873116,0.719678,1.9608,-0.000828632831,2.4,0.24,25.8929177526,25.2350907434,0.00111893994533,19.1055283095,0.30201637931,12.3951323149
2017-10-13 07:42:10,48.6409,-39.576,52.0,14.465,34.739,-0.00366103873159,0.73627,1.9737,-0.000828632831,2.4,0.3,25.8934257254,23.4597666525,0.00106882069484,18.2761858545,0.309168103448,12.3943596337
2017-10-13 07:42:10,48.6409,-39.576,54.0,14.467,34.739,-0.00366103873157,0.732122,1.9737,-0.00131606390806,2.4,0.18,25.8930777727,24.9263513637,0.00111022391067,18.961300742,0.307380172414,12.3912366587
2017-10-13 07:42:10,48.6409,-39.576,56.0,14.467,34.739,-0.00366103873193,0.713456,1.9995,-0.00131606390806,2.5,0.13,25.893157794,23.76857869,0.0010775387807,18.420447364,0.299334482759,12.384895197
2017-10-13 07:42:10,48.6409,-39.576,58.0,14.466,34.739,-0.00366103873232,0.723826,1.9737,-0.00180349498511,2.4,0.17,25.8934517935,24.8491301915,0.00110804387645,18.9252268799,0.303804310345,12.3799694751
2017-10-13 07:42:10,48.6409,-39.576,60.6,14.413,34.744,-0.00366103874476,0.727974,1.9995,-0.00229092606217,2.4,0.14,25.9087418091,22.9943152472,0.00105568051627,18.0587502813,0.305592241379,12.286319627
2017-10-13 07:42:10,48.6409,-39.576,61.5,14.204,34.765,-0.00366103878677,0.526796,2.0511,-0.00375321929333,2.4,0.29,25.969405156,18.8167478182,0.00093774343115,16.1072001134,0.218877586207,11.9776279667
2017-10-13 07:42:10,48.6409,-39.576,64.0,13.664,34.812,-0.00366103888515,0.323544,2.1543,-0.00570294360156,2.5,0.2,26.1187023046,12.8487270741,0.000769259981767,13.319239875,0.131268965517,11.4436173073
2017-10-13 07:42:10,48.6409,-39.576,66.0,12.955,34.877,-0.00366103899605,0.190808,2.2188,-0.00570294360156,2.4,0.07,26.3131516991,8.56922814818,0.000648445264191,11.3200724194,0.0740551724138,11.1894463973
2017-10-13 07:42:10,48.6409,-39.576,68.0,12.543,34.914,-0.00366103905548,0.143106,2.2317,-0.00619037467861,2.4,0.06,26.4234363949,3.99465240771,0.00051930022042,9.18305986212,0.0534939655172,11.0734379931
2017-10-13 07:42:10,48.6409,-39.576,70.0,12.345,34.928,-0.00366103908671,0.138958,2.2704,-0.00619037467861,2.5,0.07,26.4729731742,2.90426537914,0.000488517457488,8.67368568087,0.0517060344828,10.9873435276
2017-10-13 07:42:10,48.6409,-39.576,72.0,12.061,34.957,-0.00366103914095,0.120292,2.2704,-0.00619037467861,2.3,0.09,26.5502709737,1.11391103264,0.000437973887207,7.83732184356,0.0436603448276,10.8756394967
2017-10-13 07:42:10,48.6409,-39.576,74.0,11.444,34.957,-0.00366103923114,0.097478,2.2962,-0.00570294360156,2.4,0.07,26.6664978956,-0.457831482248,0.000393601956912,7.10308249948,0.0338267241379,10.7532245735
2017-10-13 07:42:10,48.6409,-39.576,76.0,11.564,35.014,-0.00366103920603,0.095404,2.2317,-0.00570294360156,2.4,0.08,26.6885868336,-0.997763705618,0.000378359107176,6.85085322034,0.0329327586207,10.719255624
2017-10-13 07:42:10,48.6409,-39.576,78.0,11.652,35.074,-0.00366103919445,0.089182,2.2704,-0.00619037467861,2.3,0.06,26.7188378177,-0.999178112191,0.000378319177003,6.85019248046,0.030250862069,10.6854184905
2017-10-13 07:42:10,48.6409,-39.576,80.0,11.654,35.095,-0.00366103919453,0.08296,2.2317,-0.00667780575567,2.4,0.06,26.7348472867,-1.69566037292,0.000358656756453,6.52483086847,0.0275689655172,10.6496738469
2017-10-13 07:42:10,48.6409,-39.576,82.0,11.647,35.129,-0.00366103919658,0.07259,2.2188,-0.00619037467861,2.3,0.07,26.7626515646,-2.54810698079,0.000334591299735,6.12661052876,0.023099137931,10.5981886881
2017-10-13 07:42:10,48.6409,-39.576,84.0,11.554,35.16,-0.00366103921083,0.068442,2.2059,-0.00570294360156,2.3,0.09,26.8042171652,-2.70958258638,0.000330032674994,6.05117721726,0.0213112068966,10.5530531578
2017-10-13 07:42:10,48.6409,-39.576,86.0,11.511,35.177,-0.00366103921839,0.058072,2.1801,-0.00667780575567,2.3,0.08,26.825515909,-3.09904585297,0.000319037720824,5.86923949483,0.0168413793103,10.5191884738
2017-10-13 07:42:10,48.6409,-39.576,88.0,11.537,35.191,-0.00366103921393,0.055998,2.193,-0.00619037467861,2.3,0.09,26.8316146375,-3.09911294079,0.000319035826865,5.86920815476,0.0159474137931,10.4987998827
2017-10-13 07:42:10,48.6409,-39.576,90.0,11.56,35.204,-0.00366103921354,0.055998,2.1801,-0.00619037467861,2.4,0.07,26.837488447,-3.33078411973,0.000312495507884,5.76098298884,0.0159474137931,10.4991337325
2017-10-13 07:42:10,48.6409,-39.576,92.0,11.509,35.199,-0.00366103922237,0.055998,2.2059,-0.00619037467861,2.4,0.05,26.8431739565,-3.56424850312,0.000305904564872,5.65192012765,0.0159474137931,10.4931264207
2017-10-13 07:42:10,48.6409,-39.576,94.0,11.465,35.187,-0.00366103922851,0.060146,2.2059,-0.00716523683272,2.4,0.09,26.8420864739,-3.41083427263,0.000310235608587,5.72358756866,0.0177353448276,10.4927928043
2017-10-13 07:42:10,48.6409,-39.576,96.0,11.306,35.158,-0.00366103925573,0.049776,2.2188,-0.00619037467861,2.4,0.06,26.849001919,-4.18749300513,0.000288309722626,5.36077152664,0.0132655172414,10.4714682659
2017-10-13 07:42:10,48.6409,-39.576,98.0,11.241,35.151,-0.00366103926534,0.049776,2.193,-0.00667780575567,2.4,0.06,26.8555632422,-4.03555568285,0.000292599071683,5.43174903014,0.0132655172414,10.4486697305
2017-10-13 07:42:10,48.6409,-39.576,100.0,11.107,35.14,-0.00366103928932,0.05185,2.2188,-0.00619037467861,2.4,0.06,26.8715600139,-3.88655789629,0.00029680543458,5.50135332985,0.0141594827586,10.4295736839
2017-10-13 07:42:10,48.6409,-39.576,102.0,10.948,35.108,-0.00366103931205,0.043554,2.2188,-0.00570294360156,2.4,0.05,26.8755261896,-4.20001838786,0.00028795611801,5.35492029547,0.0105836206897,10.3850496173
2017-10-13 07:42:10,48.6409,-39.576,104.0,10.957,35.118,-0.00366103931228,0.04148,2.2188,-0.00570294360156,2.4,0.05,26.8817384616,-4.58642160024,0.000277047552362,5.17441207703,0.00968965517241,10.3534821339
2017-10-13 07:42:10,48.6409,-39.576,106.0,10.796,35.107,-0.00366103933832,0.045628,2.1801,-0.0052155125245,2.3,0.04,26.9021638339,-4.59323959138,0.000276855073362,5.17122705321,0.0114775862069,10.3213772947
2017-10-13 07:42:10,48.6409,-39.576,108.0,10.625,35.08,-0.00366103936243,0.037332,2.2317,-0.00570294360156,2.3,0.06,26.9116185483,-4.13606544586,0.000289761576256,5.38479590533,0.00790172413793,10.281188362
2017-10-13 07:42:10,48.6409,-39.576,110.0,10.52,35.071,-0.00366103937952,0.04148,2.2446,-0.00570294360156,2.4,0.07,26.9231952715,-5.14385563797,0.000261310608154,4.91400682722,0.00968965517241,10.2204848758
2017-10-13 07:42:10,48.6409,-39.576,112.0,10.605,35.095,-0.00366103936699,0.039406,2.2059,-0.00570294360156,2.4,0.07,26.9269480758,-5.06464836974,0.000263546711938,4.95100849392,0.00879568965517,10.1823153766
2017-10-13 07:42:10,48.6409,-39.576,114.0,10.567,35.101,-0.00366103937343,0.033184,2.2704,-0.00570294360156,2.4,0.08,26.9383918498,-5.14426834872,0.000261298956899,4.91381402944,0.00611379310345,10.1368033701
2017-10-13 07:42:10,48.6409,-39.576,116.0,10.522,35.1,-0.00366103937973,0.035258,2.2575,-0.00619037467861,2.3,0.06,26.9455964231,-4.76049157734,0.000272133375379,5.09309530625,0.00700775862069,10.0744233301
2017-10-13 07:42:10,48.6409,-39.576,118.0,10.635,35.137,-0.00366103936438,0.037332,2.2446,-0.00667780575567,2.4,0.05,26.954516299,-4.83545659255,0.000270017034822,5.05807540759,0.00790172413793,10.0414648043
2017-10-13 07:42:10,48.6409,-39.576,120.0,10.64,35.142,-0.00366103936529,0.035258,2.2059,-0.00667780575567,2.3,0.04,26.9575740305,-4.83566718701,0.00027001108952,5.05797702841,0.00700775862069,10.0012045061
2017-10-13 07:42:10,48.6409,-39.576,122.0,10.39,35.115,-0.00366103940589,0.033184,2.2446,-0.00570294360156,2.3,0.07,26.980601018,-5.07721720824,0.000263191880519,4.94513696239,0.00611379310345,9.94336524374
2017-10-13 07:42:10,48.6409,-39.576,124.0,10.346,35.104,-0.00366103941122,0.037332,2.2575,-0.00619037467861,2.3,0.06,26.9797476557,-4.84687016071,0.00026969481789,5.05274356047,0.00790172413793,9.92513124912
2017-10-13 07:42:10,48.6409,-39.576,126.0,10.232,35.086,-0.00366103942848,0.037332,2.2962,-0.00570294360156,2.4,0.07,26.9855569087,-5.15973152847,0.000260862415209,4.90659040671,0.00790172413793,9.88530650425
2017-10-13 07:42:10,48.6409,-39.576,128.0,10.058,35.056,-0.00366103945662,0.029036,2.2962,-0.00619037467861,2.4,0.06,26.992154718,-4.85713428926,0.000269405050837,5.04794867394,0.00432586206897,9.84196733724
2017-10-13 07:42:10,48.6409,-39.576,130.0,9.899,35.032,-0.00366103948108,0.037332,2.2962,-0.00619037467861,2.4,0.05,27.000562458,-4.9403341869,0.000267056230961,5.00908185085,0.00790172413793,9.7882968545
2017-10-13 07:42:10,48.6409,-39.576,132.0,9.772,35.014,-0.00366103950149,0.035258,2.2962,-0.00619037467861,2.3,0.05,27.0080016779,-4.71375313752,0.000273452850276,5.1149291633,0.00700775862069,9.72133468415
2017-10-13 07:42:10,48.6409,-39.576,134.0,9.847,35.033,-0.00366103949042,0.033184,2.2833,-0.00570294360156,2.3,0.03,27.0102395906,-4.94313615,0.000266977128621,5.00777291409,0.00611379310345,9.67207624078
2017-10-13 07:42:10,48.6409,-39.576,136.0,9.863,35.043,-0.00366103948764,0.035258,2.2962,-0.00570294360156,2.3,0.04,27.0153895609,-4.71166911932,0.000273511684283,5.11590271218,0.00700775862069,9.64430311929
