datetime,lat,lon,p,t,s,o2_t,fchl,fdom,par,tilt,tilt_std,sigma,poc,bbp,cphyto,chla_adj,o2_c
2017-11-28 07:38:25,50.0843,-43.2923,0.3,14.703,35.598,-0.00366103868956,1.007964,1.8576,-0.00131606390806,9.0,nan,26.5030062354,18.8378864269,0.000938340196117,16.1170750121,0.426277586207,12.2662158499
2017-11-28 07:38:25,50.0843,-43.2923,2.0,14.717,35.596,-0.00366103868895,1.049444,1.8447,-0.000828632831,6.3,nan,26.4984664207,19.1473070177,0.000947075462078,16.2616208073,0.444156896552,12.2671405432
2017-11-28 07:38:25,50.0843,-43.2923,4.0,14.716,35.595,-0.00366103868915,1.012112,1.8318,-0.000828632831,5.1,nan,26.4979779482,19.2245444718,0.000949255955953,16.2977022755,0.428065517241,12.2694932354
2017-11-28 07:38:25,50.0843,-43.2923,6.0,14.717,35.595,-0.00366103868911,1.003816,1.8576,-0.00131606390806,5.3,2.49,26.4978248651,19.070210762,0.00094489895438,16.2256052999,0.424489655172,12.2611721634
2017-11-28 07:38:25,50.0843,-43.2923,8.0,14.72,35.595,-0.00366103868875,1.061888,1.8447,-0.000828632831,4.5,2.37,26.4972356709,20.2280913567,0.000977587131069,16.7665090932,0.449520689655,12.2670432029
2017-11-28 07:38:25,50.0843,-43.2923,10.0,14.721,35.595,-0.00366103868866,1.051518,1.8189,-0.000828632831,3.8,2.02,26.4970826001,19.5334637197,0.00095797706848,16.4420138685,0.445050862069,12.2625017524
2017-11-28 07:38:25,50.0843,-43.2923,12.0,14.722,35.595,-0.00366103868861,1.043222,1.8318,-0.00131606390806,3.9,1.99,26.4969136497,19.1475754591,0.000947083040459,16.2617462097,0.441475,12.2583352426
2017-11-28 07:38:25,50.0843,-43.2923,14.0,14.72,35.595,-0.00366103868898,1.117886,1.8705,-0.00131606390806,2.9,1.53,26.4973989073,19.3018732177,0.000951439027095,16.3338263908,0.473657758621,12.2607668376
2017-11-28 07:38:25,50.0843,-43.2923,16.0,14.72,35.594,-0.00366103868913,1.051518,1.8447,-0.000828632831,3.2,1.3,26.4966765577,18.2985588227,0.00092311441541,15.8651281807,0.445050862069,12.2526639193
2017-11-28 07:38:25,50.0843,-43.2923,18.0,14.722,35.595,-0.00366103868899,1.043222,1.8576,-0.00131606390806,2.8,0.95,26.4970610756,20.0737935981,0.000973231144433,16.6944289121,0.441475,12.2515786487
2017-11-28 07:38:25,50.0843,-43.2923,20.0,14.72,35.594,-0.00366103868946,1.061888,1.8189,-0.000828632831,3.0,0.86,26.4967748391,18.916037582,0.000940546484726,16.1535833157,0.449520689655,12.2467207355
2017-11-28 07:38:25,50.0843,-43.2923,22.0,14.713,35.593,-0.00366103869062,1.053592,1.8447,-0.00131606390806,2.5,0.81,26.4975967227,18.9930591636,0.000942720884297,16.1895639391,0.445944827586,12.2450534201
2017-11-28 07:38:25,50.0843,-43.2923,24.0,14.709,35.593,-0.00366103869152,1.061888,1.8576,-0.00180349498511,2.4,0.66,26.4985358487,18.606990952,0.000931821776072,16.0092122163,0.449520689655,12.2413313361
2017-11-28 07:38:25,50.0843,-43.2923,26.0,14.704,35.592,-0.00366103869249,1.02663,1.8447,-0.00180349498511,2.8,0.66,26.498921144,18.7612691852,0.000936177211485,16.0812832761,0.434323275862,12.2343280329
2017-11-28 07:38:25,50.0843,-43.2923,28.0,14.703,35.592,-0.00366103869301,1.053592,1.8447,-0.00180349498511,2.6,0.45,26.4992063404,19.0699725445,0.000944892229251,16.2254940166,0.445944827586,12.2301737602
2017-11-28 07:38:25,50.0843,-43.2923,30.0,14.69,35.592,-0.00366103869502,1.012112,1.8576,-0.00131606390806,2.5,0.67,26.5021048584,18.4520252276,0.000927446932064,15.936819995,0.428065517241,12.2201591987
2017-11-28 07:38:25,50.0843,-43.2923,32.0,14.688,35.592,-0.00366103869556,1.012112,1.8447,-0.00131606390806,2.5,0.26,26.5026255277,18.1432137138,0.000918728860985,15.7925587301,0.428065517241,12.2114453762
2017-11-28 07:38:25,50.0843,-43.2923,34.0,14.688,35.592,-0.00366103869586,1.012112,1.8447,-0.00180349498511,2.5,0.37,26.5027107784,18.6835076282,0.000933981921637,16.0449569732,0.428065517241,12.2072526637
2017-11-28 07:38:25,50.0843,-43.2923,36.0,14.687,35.591,-0.00366103869651,1.028704,1.8447,-0.00180349498511,2.5,0.14,26.5022421662,17.4486026473,0.0008991192662,15.4680712463,0.435217241379,12.1940415341
2017-11-28 07:38:25,50.0843,-43.2923,38.0,14.661,35.591,-0.00366103870084,1.020408,1.8834,-0.000828632831,2.7,0.13,26.5079837036,17.0617394371,0.000888197714332,15.2873481399,0.43164137931,12.1704038407
2017-11-28 07:38:25,50.0843,-43.2923,40.0,14.624,35.588,-0.00366103870704,0.97478,1.8576,-0.000828632831,2.5,0.22,26.5137921023,15.7485230043,0.000851124244941,14.6738792269,0.411974137931,12.1468246062
2017-11-28 07:38:25,50.0843,-43.2923,42.0,14.571,35.585,-0.00366103871603,0.929152,1.8318,-0.00180349498511,2.6,0.26,26.5230523844,15.9012316497,0.000855435369252,14.7452170539,0.392306896552,12.1269799404
2017-11-28 07:38:25,50.0843,-43.2923,44.0,14.503,35.582,-0.00366103872627,0.846192,1.8447,-0.00131606390806,2.5,0.25,26.5355253226,14.0465758712,0.00080307650249,13.8788148096,0.356548275862,12.1007972182
2017-11-28 07:38:25,50.0843,-43.2923,46.0,14.413,35.577,-0.00366103874139,0.796416,1.8705,-0.00131606390806,2.5,0.12,26.5511435363,13.5034131209,0.00078774245161,13.6250763902,0.335093103448,12.070871434
2017-11-28 07:38:25,50.0843,-43.2923,48.0,14.32,35.565,-0.00366103875385,0.66368,1.8705,-0.00180349498511,2.5,0.15,26.5619204833,10.2592651559,0.000696156771382,12.1095730228,0.277879310345,12.0546745429
2017-11-28 07:38:25,50.0843,-43.2923,50.0,14.313,35.564,-0.00366103875494,0.665754,1.8576,-0.00131606390806,2.5,0.11,26.5627294875,10.0275386616,0.000689614890792,12.0013220164,0.278773275862,12.0524536002
2017-11-28 07:38:25,50.0843,-43.2923,52.0,14.305,35.563,-0.00366103875632,0.626348,1.8834,-0.00131606390806,2.5,0.11,26.563751294,10.1045141048,0.000691787987828,12.0372810863,0.261787931034,12.0427827117
2017-11-28 07:38:25,50.0843,-43.2923,54.0,14.309,35.564,-0.00366103875563,0.634644,1.8705,-0.00131606390806,2.5,0.17,26.5637489535,10.2589440985,0.000696147707597,12.1094230409,0.265363793103,12.0423073491
2017-11-28 07:38:25,50.0843,-43.2923,56.0,14.308,35.565,-0.00366103875578,0.607682,1.8834,-0.000828632831,2.5,0.09,26.5648168394,10.1816331278,0.00069396513827,12.0733072294,0.253742241379,12.0340715227
2017-11-28 07:38:25,50.0843,-43.2923,58.0,14.32,35.57,-0.00366103875391,0.624274,1.8576,-0.000828632831,2.4,0.11,26.5661905289,11.1078542838,0.000720113327419,12.5059913412,0.260893965517,12.02734564
2017-11-28 07:38:25,50.0843,-43.2923,60.0,14.316,35.57,-0.003661038755,0.60146,1.8963,-0.00131606390806,2.5,0.07,26.5671287267,11.1848901088,0.000722288129096,12.5419786185,0.251060344828,12.0141451794
2017-11-28 07:38:25,50.0843,-43.2923,62.0,14.307,35.567,-0.00366103875681,0.562054,1.8705,-0.00180349498511,2.5,0.1,26.5668201579,9.48675455321,0.000674347991452,11.7486947792,0.234075,11.996468088
2017-11-28 07:38:25,50.0843,-43.2923,64.0,14.254,35.557,-0.00366103876507,0.506056,1.8834,-0.00180349498511,2.4,0.09,26.5705076867,7.78759583422,0.000626378968839,10.9549329693,0.209937931034,11.9713510402
2017-11-28 07:38:25,50.0843,-43.2923,66.0,14.225,35.551,-0.00366103876943,0.491538,1.9092,-0.00180349498511,2.5,0.08,26.5721418364,7.94141133825,0.000630721340925,11.0267878652,0.203680172414,11.9445756112
2017-11-28 07:38:25,50.0843,-43.2923,68.0,14.184,35.547,-0.00366103877563,0.427244,1.8963,-0.00131606390806,2.5,0.07,26.5778665745,6.62808252893,0.000593644699027,10.4132664555,0.175967241379,11.9059212631
2017-11-28 07:38:25,50.0843,-43.2923,70.0,14.167,35.549,-0.00366103877787,0.367098,1.8705,-0.00131606390806,2.5,0.04,26.5831089783,6.62726365094,0.000593621581247,10.4128839167,0.150042241379,11.8814339594
2017-11-28 07:38:25,50.0843,-43.2923,72.0,14.167,35.553,-0.003661038778,0.33184,1.8963,-0.00131606390806,2.4,0.09,26.5862799579,4.69728678625,0.000539136321671,9.51129543527,0.134844827586,11.854913324
2017-11-28 07:38:25,50.0843,-43.2923,74.0,14.156,35.557,-0.00366103877972,0.302804,1.9221,-0.00131606390806,2.5,0.05,26.5917896477,4.92807027135,0.00054565158013,9.61910591511,0.122329310345,11.8298617251
2017-11-28 07:38:25,50.0843,-43.2923,76.0,14.146,35.558,-0.0036610387815,0.273768,1.9092,-0.000828632831,2.5,0.05,26.5947680449,3.6154610568,0.000508595253142,9.00592066398,0.109813793103,11.8014015813
2017-11-28 07:38:25,50.0843,-43.2923,78.0,14.117,35.558,-0.0036610387862,0.234362,1.9092,-0.000828632831,2.5,0.09,26.600996061,2.99688449443,0.000491132191701,8.71695269046,0.0928284482759,11.7602572818
