datetime,lat,lon,p,t,s,o2_t,fchl,fdom,par,tilt,tilt_std,sigma,poc,chla_adj,cphyto,bbp,o2_c
2019-11-18 07:10:29,55.9856,-34.9199,0.0,7.512,34.854,-0.00366103986895,0.60876,1.8316,0.00441911841073,10.8,nan,27.233573792,11.7218135753,0.254206896552,12.7928023571,0.000737446038487,12.0127880609
2019-11-18 07:10:29,55.9856,-34.9199,2.1,7.533,34.853,-0.00366103986874,0.58384,1.8316,0.00441911841073,7.7,nan,27.2297865919,10.3932877939,0.243465517241,12.1721816835,0.000699940370219,12.0159532857
2019-11-18 07:10:29,55.9856,-34.9199,3.9,7.539,34.85,-0.00366103986886,0.6052,1.8316,0.00395589845153,7.7,nan,27.2265876272,10.3052746701,0.252672413793,12.1310663624,0.00069745566795,12.0143165035
2019-11-18 07:10:29,55.9856,-34.9199,6.0,7.54,34.85,-0.00366103986879,0.6764,1.8316,0.00488233836992,5.5,nan,27.2264756485,12.0785284817,0.283362068966,12.9594416867,0.000747516472296,12.0138841922
2019-11-18 07:10:29,55.9856,-34.9199,7.9,7.54,34.85,-0.00366103986879,0.65148,1.81955,0.00441911841073,4.3,1.92,27.2265051787,10.5713142867,0.272620689655,12.2553467402,0.000704966243767,12.0117537975
2019-11-18 07:10:29,55.9856,-34.9199,10.0,7.54,34.849,-0.00366103986885,0.63012,1.8316,0.00488233836992,4.5,2.02,27.2257513477,10.8373874619,0.263413793103,12.3796427949,0.000712477766978,12.010673342
2019-11-18 07:10:29,55.9856,-34.9199,12.0,7.532,34.849,-0.00366103986997,0.63902,1.84365,0.00488233836992,4.0,1.99,27.2269098887,11.0142215499,0.26725,12.4622508198,0.000717469977694,12.0075098459
2019-11-18 07:10:29,55.9856,-34.9199,14.0,7.525,34.849,-0.00366103987114,0.62122,1.84365,0.00488233836992,3.4,1.8,27.2279232494,9.68390189538,0.259577586207,11.8407921386,0.000679913666517,12.003314025
2019-11-18 07:10:29,55.9856,-34.9199,15.9,7.53,34.849,-0.00366103987007,0.60164,1.8316,0.00441911841073,3.1,1.52,27.2272029671,10.6594615702,0.251137931034,12.296524734,0.000707454733504,12.0086979644
2019-11-18 07:10:29,55.9856,-34.9199,18.0,7.545,34.849,-0.00366103986786,0.62478,1.84365,0.00441911841073,2.5,1.21,27.2250368537,12.1675854834,0.261112068966,13.0010446553,0.000750030644329,12.0137606782
