datetime,lat,lon,p,t,s,o2_t,fchl,fdom,par,tilt,tilt_std,chla_adj,poc,o2_c,cphyto,bbp,sigma
2019-11-08 07:11:18,55.9273,-34.2383,48.0,8.042,34.782,-0.00366103978429,0.86508,1.84365,0.00210301861474,1.6,0.34,0.364689655172,11.2282737937,12.1156372673,12.5622453021,0.000723512895761,27.1001515539
2019-11-08 07:11:18,55.9273,-34.2383,50.0,8.043,34.782,-0.00366103978427,0.83304,1.84365,0.00163979865555,1.7,0.31,0.350879310345,18.3211051504,12.114529569,15.8756606953,0.000923750921754,27.1000599245
2019-11-08 07:11:18,55.9273,-34.2383,52.0,8.04,34.783,-0.00366103978477,0.83838,1.8316,0.00210301861474,1.6,0.37,0.353181034483,11.9373398126,12.1071065685,12.8934854154,0.00074353056893,27.1013438187
2019-11-08 07:11:18,55.9273,-34.2383,54.0,8.043,34.783,-0.00366103978441,0.82414,1.8075,0.00256623857394,1.6,0.3,0.347043103448,10.6962806309,12.1056101796,12.3137247542,0.000708494173984,27.1009438107
2019-11-08 07:11:18,55.9273,-34.2383,56.0,8.044,34.783,-0.00366103978432,0.86152,1.84365,0.00256623857394,1.6,0.29,0.363155172414,11.1396375951,12.1051737763,12.5208389116,0.000721010603442,27.1008433329
2019-11-08 07:11:18,55.9273,-34.2383,58.0,8.044,34.783,-0.00366103978465,0.83304,1.8075,0.00256623857394,1.6,0.26,0.350879310345,12.7355114486,12.1042854443,13.2663512079,0.00076606378659,27.1008926473
2019-11-08 07:11:18,55.9273,-34.2383,60.0,8.045,34.783,-0.00366103978456,0.84728,1.8316,0.00210301861474,1.6,0.33,0.357017241379,11.4056752386,12.1033348632,12.6451183677,0.000728521123555,27.1007921867
2019-11-08 07:11:18,55.9273,-34.2383,62.0,8.045,34.782,-0.00366103978472,0.82414,1.8316,0.00256623857394,1.7,0.18,0.347043103448,11.1397901477,12.094488014,12.5209101766,0.000721014910162,27.1000562131
2019-11-08 07:11:18,55.9273,-34.2383,64.0,8.044,34.782,-0.00366103978534,0.83482,1.81955,0.00210301861474,1.6,0.09,0.351646551724,12.203647383,12.0880448571,13.0178909677,0.00075104870936,27.1002553242
2019-11-08 07:11:18,55.9273,-34.2383,66.0,8.041,34.782,-0.00366103978601,0.82948,1.84365,0.00302945853314,1.6,0.26,0.349344827586,10.6962571641,12.0816681654,12.3137137917,0.000708493511492,27.1007539038
2019-11-08 07:11:18,55.9273,-34.2383,68.0,8.04,34.782,-0.00366103978644,0.85262,1.8316,0.00302945853314,1.6,0.21,0.359318965517,11.9374337012,12.0806420651,12.8935292754,0.000743533219503,27.1009529607
2019-11-08 07:11:18,55.9273,-34.2383,70.0,8.041,34.783,-0.00366103978652,0.83126,1.81955,0.00256623857394,1.7,0.06,0.350112068966,11.7600791785,12.0708995213,12.8106781295,0.000738526316372,27.1016379081
2019-11-08 07:11:18,55.9273,-34.2383,72.0,8.042,34.783,-0.0036610397868,0.81524,1.8316,0.00210301861474,1.7,0.17,0.343206896552,12.0261168333,12.0637581012,12.9349575909,0.000746036836805,27.1015375373
2019-11-08 07:11:18,55.9273,-34.2383,74.0,8.04,34.784,-0.0036610397873,0.8188,1.81955,0.00210301861474,1.7,0.24,0.34474137931,11.7599266082,12.0594137246,12.8106068563,0.000738522009151,27.1026716597
2019-11-08 07:11:18,55.9273,-34.2383,76.0,8.041,34.784,-0.00366103978749,0.801,1.8316,0.00256623857394,1.7,0.19,0.337068965517,9.63215348729,12.0504208503,11.8166178754,0.000678452754991,27.102571318
2019-11-08 07:11:18,55.9273,-34.2383,78.0,8.041,34.784,-0.003661039788,0.83126,1.84365,0.00256623857394,1.7,0.17,0.350112068966,10.252771097,12.0352449445,12.1065393239,0.000695973437326,27.102612584
2019-11-08 07:11:18,55.9273,-34.2383,80.0,8.037,34.784,-0.0036610397892,0.801,1.84365,0.00302945853314,1.6,0.14,0.337068965517,13.8875823389,12.0240640783,13.8045409984,0.000798587949266,27.1032525864
2019-11-08 07:11:18,55.9273,-34.2383,82.0,8.038,34.784,-0.0036610397896,0.81346,1.8557,0.00256623857394,1.6,0.1,0.342439655172,10.6072336685,11.9935565377,12.2721264755,0.000705980285374,27.103144188
2019-11-08 07:11:18,55.9273,-34.2383,84.0,8.029,34.785,-0.00366103979214,0.80278,1.8557,0.00256623857394,1.6,0.15,0.337836206897,11.4932079674,11.9465263244,12.6860092724,0.000730992263774,27.105317354
2019-11-08 07:11:18,55.9273,-34.2383,86.0,8.017,34.787,-0.00366103979456,0.78854,1.8557,0.00256623857394,1.7,0.09,0.331698275862,10.0737606192,11.8948436095,12.0229145988,0.000690919784856,27.1087233765
2019-11-08 07:11:18,55.9273,-34.2383,88.0,8.002,34.79,-0.00366103979779,0.77252,1.8316,0.00349267849233,1.7,0.12,0.324793103448,12.8210462533,11.8089167992,13.3063087826,0.000768478523328,27.1133611883
2019-11-08 07:11:18,55.9273,-34.2383,90.0,7.996,34.789,-0.00366103980057,0.72446,1.84365,0.00349267849233,1.7,0.09,0.304077586207,9.71769904808,11.6613499946,11.8565804748,0.000680867795384,27.1135123629
2019-11-08 07:11:18,55.9273,-34.2383,92.0,7.926,34.803,-0.00366103981235,0.58206,1.86775,0.00302945853314,1.8,0.11,0.242698275862,8.20504022943,11.4738690506,11.1499420729,0.00063816385945,27.1349701439
2019-11-08 07:11:18,55.9273,-34.2383,94.0,7.779,34.835,-0.00366103983452,0.40762,1.8557,0.00349267849233,1.6,0.05,0.16750862069,5.26752863446,11.2800630255,9.77768385234,0.000555234843726,27.1818724115
2019-11-08 07:11:18,55.9273,-34.2383,96.0,7.592,34.859,-0.00366103986495,0.18156,1.86775,0.00395589845153,1.6,0.12,0.0700689655172,3.03754399725,11.144976549,8.73594677276,0.000492280051868,27.2280810913
2019-11-08 07:11:18,55.9273,-34.2383,98.0,7.454,34.871,-0.0036610398876,0.12638,1.86775,0.00349267849233,1.6,0.08,0.0462844827586,3.2940137985,11.0668220837,8.85575661239,0.000499520461818,27.2574683692
2019-11-08 07:11:18,55.9273,-34.2383,100.0,7.383,34.875,-0.00366103989983,0.089,1.89185,0.00349267849233,1.6,0.07,0.0301724137931,0.806826501044,11.0253882416,7.69386733818,0.000429304570635,27.2708179987
