datetime,lat,lon,p,t,s,o2_t,fchl,fdom,par,tilt,tilt_std,bbp,sigma,poc,o2_c,chla_adj,cphyto
2019-10-24 07:14:31,56.4541,-33.5873,47.9,8.798,34.769,-0.00366103965943,1.08402,1.8557,0.00256623857394,1.6,0.18,0.000829893304033,26.9736667254,14.9964806155,12.2705912471,0.459060344828,14.3225627071
2019-10-24 07:14:31,56.4541,-33.5873,50.0,8.799,34.769,-0.00366103965968,1.07868,1.8557,0.00256623857394,1.6,0.39,0.000859930335892,26.9735734894,16.060452358,12.2652981627,0.45675862069,14.8195969903
2019-10-24 07:14:31,56.4541,-33.5873,52.0,8.801,34.769,-0.00366103966012,1.0502,1.8557,0.00256623857394,1.7,0.17,0.00086994530691,26.9733100475,16.4152026614,12.2610847552,0.444482758621,14.9853185558
2019-10-24 07:14:31,56.4541,-33.5873,54.0,8.8,34.769,-0.00366103966085,1.02528,1.86775,0.00210301861474,1.6,0.13,0.00080236395597,26.9735200358,14.0213360484,12.2529007156,0.43374137931,13.8670240291
2019-10-24 07:14:31,56.4541,-33.5873,56.0,8.801,34.769,-0.00366103966134,1.03418,1.8557,0.00210301861474,1.6,0.07,0.00105266099412,26.9734144215,22.8873577337,12.2426209949,0.437577586207,18.0087850906
2019-10-24 07:14:31,56.4541,-33.5873,58.0,8.801,34.769,-0.00366103966243,1.00214,1.8557,0.00302945853314,1.7,0.12,0.000849921669955,26.9734666199,15.7059253931,12.2326204892,0.423767241379,14.6539797575
2019-10-24 07:14:31,56.4541,-33.5873,60.0,8.799,34.769,-0.00366103966372,1.068,1.928,0.00302945853314,1.7,0.19,0.000847415562795,26.973834398,15.6171540653,12.2139423549,0.452155172414,14.6125102414
2019-10-24 07:14:31,56.4541,-33.5873,62.0,8.803,34.769,-0.00366103966424,1.04842,1.8798,0.00256623857394,1.6,0.21,0.000817386412027,26.9732554337,14.5534614868,12.1950009653,0.443715517241,14.1156063696
2019-10-24 07:14:31,56.4541,-33.5873,64.0,8.802,34.769,-0.00366103966567,1.03062,1.8798,0.00302945853314,1.7,0.12,0.00084491733683,26.9734654671,15.5286619052,12.1738357851,0.436043103448,14.5711711384
2019-10-24 07:14:31,56.4541,-33.5873,66.0,8.794,34.768,-0.00366103966818,1.03774,1.8798,0.00349267849233,1.6,0.14,0.000829889632126,26.9739961412,14.9963505492,12.1419783359,0.439112068966,14.3225019466
2019-10-24 07:14:31,56.4541,-33.5873,68.0,8.794,34.766,-0.0036610396701,1.03418,1.89185,0.00302945853314,1.7,0.07,0.000894971722018,26.9724812003,17.3016883373,12.0889317045,0.437577586207,15.3994402425
2019-10-24 07:14:31,56.4541,-33.5873,70.0,8.717,34.766,-0.00366103968252,1.02528,1.8557,0.00302945853314,1.6,0.06,0.000797234766008,26.9846445167,13.8396498815,11.9949894843,0.43374137931,13.7821493562
2019-10-24 07:14:31,56.4541,-33.5873,72.0,8.686,34.758,-0.00366103969065,0.97544,1.8557,0.00302945853314,1.5,0.1,0.00091234259574,26.9832838962,17.9169994263,11.8413598992,0.41225862069,15.6868827504
2019-10-24 07:14:31,56.4541,-33.5873,74.0,8.345,34.769,-0.0036610397456,0.63902,1.89185,0.00302945853314,1.6,0.26,0.000691505900401,27.044725355,10.094522004,11.5636443953,0.26725,12.0326132774
2019-10-24 07:14:31,56.4541,-33.5873,76.0,7.875,34.789,-0.00366103982236,0.36668,1.8798,0.00395589845153,1.9,0.1,0.000658139372948,27.1311848141,8.91261286855,11.3406934836,0.149862068966,11.480484554
