datetime,lat,lon,p,t,s,o2_t,fchl,fdom,par,tilt,tilt_std,bbp,cphyto,o2_c,sigma,chla_adj,poc
2019-10-04 07:11:14,56.9643,-32.8801,-0.1,10.65,34.812,-0.00366103934807,2.06302,1.89185,0.00210301861474,13.6,nan,0.00169854749374,28.6965166514,12.7588825497,nan,0.881043103448,45.7659493231
2019-10-04 07:11:14,56.9643,-32.8801,2.1,10.651,34.811,-0.00366103934671,2.09684,1.89185,0.00256623857394,8.5,nan,0.00163848056753,27.7025661921,12.7597483707,26.6947762505,0.895620689655,43.6382586631
2019-10-04 07:11:14,56.9643,-32.8801,4.0,10.651,34.818,-0.00366103934614,2.05234,1.8798,0.00256623857394,9.0,nan,0.00163846239607,27.702265502,12.7637287737,26.7002749282,0.876439655172,43.6376149936
2019-10-04 07:11:14,56.9643,-32.8801,6.0,10.649,34.819,-0.00366103934654,2.03454,1.8798,0.00256623857394,6.3,nan,0.00158839793026,26.87382959,12.7584996142,26.7014536542,0.868767241379,41.8642314856
2019-10-04 07:11:14,56.9643,-32.8801,8.0,10.651,34.819,-0.00366103934634,1.99716,1.91595,0.00210301861474,5.9,nan,0.00157088002556,26.5839541041,12.7607141818,26.7011444405,0.852655172414,41.2437122654
2019-10-04 07:11:14,56.9643,-32.8801,10.0,10.65,34.819,-0.00366103934661,2.06658,1.8798,0.00256623857394,4.1,2.0,0.00149829295283,25.3828279797,12.7542217148,26.7013666286,0.882577586207,38.6725329752
2019-10-04 07:11:14,56.9643,-32.8801,12.0,10.651,34.818,-0.00366103934681,2.11464,1.9039,0.00256623857394,2.8,1.24,0.00171855694389,29.0276206953,12.7521250421,26.7004288263,0.903293103448,46.4747240665
2019-10-04 07:11:14,56.9643,-32.8801,14.1,10.652,34.819,-0.00366103934681,2.01318,1.89185,0.00302945853314,3.4,1.54,0.00157338436885,26.6253944328,12.7522581512,26.7010508076,0.859560344828,41.3324211134
2019-10-04 07:11:14,56.9643,-32.8801,16.1,10.649,34.818,-0.0036610393476,2.0381,1.86775,0.00302945853314,3.9,1.69,0.0016159330269,27.3294633919,12.7483654361,26.700821487,0.870301724138,42.8395796788
2019-10-04 07:11:14,56.9643,-32.8801,18.0,10.648,34.818,-0.00366103934807,2.10574,1.89185,0.00256623857394,3.2,1.66,0.00168601436729,28.4891262025,12.7429115116,26.7010163918,0.899456896552,45.3220009181
2019-10-04 07:11:14,56.9643,-32.8801,20.0,10.644,34.818,-0.00366103934938,2.10396,1.89185,0.00210301861474,2.6,1.29,0.0015308256241,25.9211585651,12.7370451895,26.7017433718,0.898689655172,39.8249052568
2019-10-04 07:11:14,56.9643,-32.8801,22.1,10.645,34.818,-0.00366103934984,2.02208,1.8798,0.00210301861474,2.3,1.05,0.00160591565203,27.1637020489,12.7238791906,26.7016676937,0.863396551724,42.4847442261
2019-10-04 07:11:14,56.9643,-32.8801,23.9,10.646,34.818,-0.00366103935068,2.1182,1.8798,0.00302945853314,2.2,0.88,0.00162093476899,27.4122291361,12.7176259821,26.7015775415,0.904827586207,43.0167513872
2019-10-04 07:11:14,56.9643,-32.8801,26.0,10.648,34.818,-0.00366103935148,2.11286,1.89185,0.00302945853314,2.0,0.73,0.00169602618577,28.6547956017,12.7053630753,26.7013248229,0.902525862069,45.6766395522
