datetime,lat,lon,p,t,s,o2_t,fchl,fdom,par,tilt,tilt_std,bbp,cphyto,o2_c,sigma,chla_adj,poc
2019-07-26 07:19:17,57.2881,-32.8374,0.4,13.559,34.726,-0.00366103888903,3.76648,1.8316,0.00210301861474,6.1,nan,0.00408020244906,68.1066743931,14.5333206492,26.0719602196,1.61529310345,130.128931151
2019-07-26 07:19:17,57.2881,-32.8374,1.9,13.568,34.724,-0.00366103888079,3.94092,1.84365,0.00210301861474,4.9,2.22,0.00402515251381,67.1957420067,14.5413395402,26.0686079872,1.69048275862,128.178952344
2019-07-26 07:19:17,57.2881,-32.8374,3.9,13.569,34.724,-0.00366103887129,4.22572,1.8316,0.00163979865555,4.1,1.93,0.00422038408156,70.4263136158,14.5337736503,26.0684621292,1.81324137931,135.094444937
2019-07-26 07:19:17,57.2881,-32.8374,6.0,13.559,34.723,-0.00366103887455,4.63334,1.8557,0.00256623857394,3.6,1.77,0.00455827442418,76.017514672,14.5256224697,26.0698070135,1.98893965517,147.063196653
2019-07-26 07:19:17,57.2881,-32.8374,8.1,13.415,34.714,-0.00366103889957,5.05342,1.86775,0.00302945853314,2.9,1.47,0.00420271726353,70.1339740038,14.4643077346,26.0923996118,2.17000862069,134.468650909
2019-07-26 07:19:17,57.2881,-32.8374,10.0,13.281,34.703,-0.00366103892508,4.82736,1.94005,0.00302945853314,2.9,1.4,0.00389973672001,65.1204387787,14.4064469924,26.1112057655,2.07256896552,123.736474096
2019-07-26 07:19:17,57.2881,-32.8374,12.0,13.055,34.681,-0.00366103896556,5.13352,2.0244,0.00395589845153,2.4,1.18,0.00429249823819,71.6196142161,14.3237397405,26.139786246,2.20453448276,137.648872593
2019-07-26 07:19:17,57.2881,-32.8374,14.0,12.689,34.664,-0.00366103902616,5.6693,2.13285,0.00395589845153,2.2,1.36,0.00416696527171,69.5423720868,14.1417496354,26.19940184,2.43547413793,133.202243854
2019-07-26 07:19:17,57.2881,-32.8374,16.0,12.183,34.659,-0.00366103910811,5.51978,2.169,0.00441911841073,2.0,0.96,0.00397614004724,66.3847139295,13.8713254704,26.2939811617,2.37102586207,126.442832753
2019-07-26 07:19:17,57.2881,-32.8374,18.2,11.676,34.664,-0.00366103919064,4.87008,2.2413,0.00395589845153,2.0,1.02,0.00386285494831,64.5101419608,13.5730442319,26.3939946263,2.09098275862,122.430047979
2019-07-26 07:19:17,57.2881,-32.8374,20.0,11.242,34.669,-0.00366103926011,4.56214,2.27745,0.00488233836992,1.8,0.84,0.00355691456724,59.4476291687,13.3304409096,26.4781476098,1.95825,111.593027801
2019-07-26 07:19:17,57.2881,-32.8374,21.9,10.904,34.673,-0.00366103931681,3.80742,2.2654,0.00534555832912,1.8,0.5,0.00288065210078,48.2572548375,13.0954860976,26.5425456202,1.63293965517,87.6384587137
2019-07-26 07:19:17,57.2881,-32.8374,24.0,10.229,34.704,-0.00366103942594,3.1595,2.22925,0.00441911841073,1.7,0.41,0.00249167207592,41.8206532199,12.8538479966,26.685584336,1.3536637931,73.8600082733
2019-07-26 07:19:17,57.2881,-32.8374,26.0,9.96,34.716,-0.00366103947076,2.63974,2.20515,0.00488233836992,1.7,0.6,0.00224596321712,37.7548145214,12.7179576198,26.7410942129,1.12962931034,65.1565090768
2019-07-26 07:19:17,57.2881,-32.8374,28.0,9.783,34.723,-0.00366103949946,2.23746,2.2172,0.00534555832912,1.7,0.56,0.00197036059644,33.1943122829,12.6324273706,26.7765512538,0.956232758621,55.394113047
2019-07-26 07:19:17,57.2881,-32.8374,30.0,9.67,34.728,-0.00366103951834,1.85298,2.2172,0.00488233836992,1.7,0.47,0.00191010937311,32.1973121883,12.5549605245,26.799468351,0.79050862069,53.2598942141
2019-07-26 07:19:17,57.2881,-32.8374,32.0,9.639,34.727,-0.00366103952496,1.73728,2.20515,0.00488233836992,1.7,0.37,0.00177740929172,30.0014730605,12.5045139655,26.8039180183,0.740637931034,48.5593919312
2019-07-26 07:19:17,57.2881,-32.8374,34.0,9.477,34.725,-0.00366103955352,1.33856,2.20515,0.00488233836992,1.6,0.34,0.00147681745073,25.027464612,12.3929329312,26.8292576778,0.568775862069,37.9118277397
2019-07-26 07:19:17,57.2881,-32.8374,36.0,9.065,34.743,-0.00366103961926,0.88466,2.1449,0.00534555832912,1.7,0.22,0.00127590480373,21.7028860064,12.2704168785,26.9104378547,0.373129310345,30.7950999578
2019-07-26 07:19:17,57.2881,-32.8374,38.0,8.999,34.744,-0.00366103963018,0.86508,2.15695,0.00534555832912,1.7,0.24,0.00127830272211,21.7425652813,12.2293997532,26.9218565975,0.364689655172,30.8800390226
2019-07-26 07:19:17,57.2881,-32.8374,40.0,8.972,34.743,-0.00366103963633,0.79744,2.13285,0.00488233836992,1.6,0.14,0.00115061264476,19.6296286112,12.181356972,26.9254471256,0.335534482759,26.3570011027
