datetime,lat,lon,p,t,s,o2_t,fchl,fdom,par,tilt,tilt_std,o2_c,bbp,poc,chla_adj,cphyto,sigma
2019-10-29 07:03:11,56.3497,-33.588,1.7,8.904,34.847,-0.00366103963644,0.83304,1.81955,0.00349267849233,8.1,nan,12.3796363482,0.000807328000899,14.1971724478,0.350879310345,13.9491659839,27.0167643819
2019-10-29 07:03:11,56.3497,-33.588,3.9,8.907,34.847,-0.00366103963739,0.82414,1.8316,0.00302945853314,7.0,nan,12.377472737,0.000789812019293,13.5767213474,0.347043103448,13.6593223202,27.0163278492
2019-10-29 07:03:11,56.3497,-33.588,6.0,8.914,34.847,-0.00366103963636,0.83838,1.8316,0.00302945853314,4.8,nan,12.3752935786,0.000812349575592,14.3750466666,0.353181034483,14.0322599058,27.0152523265
2019-10-29 07:03:11,56.3497,-33.588,8.0,8.914,34.847,-0.00366103963633,0.8544,1.8075,0.00256623857394,5.3,nan,12.3767676625,0.00081735548483,14.5523659837,0.360086206897,14.1150946054,27.0152897301
2019-10-29 07:03:11,56.3497,-33.588,10.0,8.915,34.847,-0.0036610396363,0.86686,1.8075,0.00349267849233,3.6,1.75,12.3737876768,0.000844889551615,15.5276776973,0.365456896552,14.5707113658,27.0151678578
2019-10-29 07:03:11,56.3497,-33.588,12.0,8.915,34.847,-0.00366103963632,0.8366,1.8557,0.00395589845153,3.6,2.07,12.3712249683,0.000834877733138,15.1730390632,0.352413793103,14.4050419667,27.0151783491
2019-10-29 07:03:11,56.3497,-33.588,14.0,8.916,34.847,-0.00366103963621,0.9968,1.8075,0.00349267849233,2.5,1.18,12.3720257432,0.000952518166115,19.3400984801,0.421465517241,16.3516833179,27.0150295631
2019-10-29 07:03:11,56.3497,-33.588,16.0,8.917,34.847,-0.00366103963605,0.8455,1.81955,0.00395589845153,2.4,1.39,12.3676062765,0.000769804044668,12.8679988702,0.35625,13.3282426924,27.0148807835
2019-10-29 07:03:11,56.3497,-33.588,18.0,8.917,34.847,-0.0036610396361,0.8277,1.81955,0.00395589845153,2.2,1.05,12.3661655741,0.0007998395001,13.9319147726,0.348577586207,13.8252508899,27.0148913065
2019-10-29 07:03:11,56.3497,-33.588,20.0,8.917,34.847,-0.00366103963617,0.83126,1.8316,0.00395589845153,2.8,1.24,12.3642929756,0.000787324727004,13.4886164799,0.350112068966,13.618164141,27.014901837
2019-10-29 07:03:11,56.3497,-33.588,22.0,8.918,34.847,-0.00366103963617,0.83482,1.8316,0.00395589845153,2.2,0.66,12.3650931879,0.000779817428806,13.2226929632,0.351646551724,13.4939379992,27.0148346582
2019-10-29 07:03:11,56.3497,-33.588,24.0,8.918,34.847,-0.0036610396362,0.88288,1.8316,0.00349267849233,2.0,0.68,12.3616207373,0.000787326292664,13.4886719387,0.372362068966,13.6181900485,27.0149267787
2019-10-29 07:03:11,56.3497,-33.588,26.0,8.918,34.847,-0.00366103963627,0.8989,1.8075,0.00302945853314,2.0,0.79,12.3560225866,0.00080234402038,14.0206298899,0.379267241379,13.8666941473,27.0150189069
2019-10-29 07:03:11,56.3497,-33.588,28.0,8.918,34.847,-0.00366103963644,0.94162,1.8075,0.00395589845153,2.0,0.53,12.3532566745,0.000744776064135,11.9814577438,0.397681034483,12.9140951021,27.0151110427
2019-10-29 07:03:11,56.3497,-33.588,30.0,8.918,34.847,-0.00366103963656,0.7921,1.8075,0.00395589845153,1.7,0.47,12.3538961228,0.000980053798352,20.3154656452,0.333232758621,16.8073259825,27.0152031862
2019-10-29 07:03:11,56.3497,-33.588,32.0,8.918,34.847,-0.00366103963658,0.8989,1.8075,0.00395589845153,1.9,0.74,12.3542158625,0.000854906067386,15.8824827189,0.379267241379,14.7364584929,27.0152631272
2019-10-29 07:03:11,56.3497,-33.588,34.0,8.918,34.847,-0.00366103963665,0.89178,1.8316,0.00441911841073,1.6,0.52,12.3516582354,0.000817361748096,14.5525878411,0.376198275862,14.115198246,27.0153230758
2019-10-29 07:03:11,56.3497,-33.588,36.0,8.918,34.847,-0.00366103963674,0.87576,1.8316,0.00395589845153,1.7,0.46,12.3510189323,0.000804846974999,14.1092895484,0.369293103448,13.9081114971,27.015383032
2019-10-29 07:03:11,56.3497,-33.588,38.0,8.917,34.847,-0.00366103963702,0.8099,1.81955,0.00441911841073,1.6,0.43,12.3440532182,0.000794833590862,13.7545954555,0.340905172414,13.7424161903,27.0156022469
2019-10-29 07:03:11,56.3497,-33.588,40.0,8.918,34.847,-0.00366103963708,0.79566,1.8316,0.00395589845153,1.6,0.22,12.3459060007,0.000777314474187,13.1340333046,0.334767241379,13.4525206494,27.015502967
2019-10-29 07:03:11,56.3497,-33.588,42.0,8.918,34.847,-0.00366103963731,0.8633,1.81955,0.00441911841073,1.6,0.42,12.3411150365,0.000809852884238,14.2866088655,0.363922413793,13.9909461967,27.0155651055
2019-10-29 07:03:11,56.3497,-33.588,44.0,8.919,34.847,-0.00366103963731,0.85262,1.8075,0.00441911841073,1.5,0.19,12.3385608083,0.000807351495175,14.1980046621,0.359318965517,13.9495547527,27.0154680034
2019-10-29 07:03:11,56.3497,-33.588,46.0,8.92,34.847,-0.00366103963732,0.89178,1.81955,0.00488233836992,1.6,0.26,12.3395185662,0.000849903289155,15.7052743085,0.376198275862,14.6536756033,27.0153709074
2019-10-29 07:03:11,56.3497,-33.588,48.0,8.919,34.847,-0.00366103963751,0.87398,1.81955,0.00441911841073,1.6,0.23,12.3323376518,0.000872428315277,16.5031557837,0.368525862069,15.0264058473,27.0155923273
2019-10-29 07:03:11,56.3497,-33.588,50.0,8.92,34.847,-0.0036610396377,0.83482,1.81955,0.00534555832912,1.6,0.11,12.3318591104,0.000809856015246,14.286719772,0.351646551724,13.9909980067,27.0154952556
