datetime,lat,lon,p,t,s,o2_t,fchl,fdom,par,tilt,tilt_std,cphyto,poc,o2_c,bbp,sigma,chla_adj
2020-01-22 07:07:35,55.7136,-35.7491,120.0,5.757,34.797,-0.0036610401729,0.3204,1.8557,0.00349267849233,1.6,0.08,8.60100542196,2.74868306958,11.3687055308,0.000484125206639,27.4269925564,0.129913793103
2020-01-22 07:07:35,55.7136,-35.7491,122.0,5.762,34.798,-0.00366104017202,0.31684,1.8316,0.00349267849233,1.7,0.08,8.55970122502,2.66026563062,11.3611361169,0.000481629090131,27.4271868299,0.128379310345
2020-01-22 07:07:35,55.7136,-35.7491,123.9,5.826,34.806,-0.00366104015983,0.29548,1.8798,0.00349267849233,1.6,0.07,8.3956909474,2.30917857938,11.3618567481,0.000471717536542,27.4255452545,0.119172413793
2020-01-22 07:07:35,55.7136,-35.7491,126.0,5.855,34.811,-0.00366104015725,0.29014,1.86775,0.00302945853314,1.6,0.06,9.10047386428,3.8178654717,11.3726729216,0.000514309340853,27.4258888761,0.116870689655
2020-01-22 07:07:35,55.7136,-35.7491,128.0,5.85,34.808,-0.00366104015803,0.29192,1.86775,0.00395589845153,1.6,0.05,8.0650171307,1.60132479783,11.3766420048,0.0004517340861,27.4241703252,0.117637931034
2020-01-22 07:07:35,55.7136,-35.7491,130.0,5.777,34.805,-0.00366104017151,0.31862,1.8557,0.00395589845153,1.6,0.04,8.31135747764,2.12865093412,11.3737552309,0.000466621052852,27.4309565092,0.129146551724
2020-01-22 07:07:35,55.7136,-35.7491,132.0,5.777,34.793,-0.0036610401697,0.31684,1.84365,0.00395589845153,1.6,0.06,8.76748491017,3.10505581312,11.3643793971,0.000494185980835,27.4214913839,0.128379310345
2020-01-22 07:07:35,55.7136,-35.7491,134.0,5.732,34.797,-0.00366104017647,0.31328,1.8557,0.00441911841073,1.7,0.07,8.68305003967,2.92431110533,11.3417001658,0.000489083369243,27.4302786387,0.126844827586
2020-01-22 07:07:35,55.7136,-35.7491,136.0,5.862,34.81,-0.00366104015512,0.27946,1.8557,0.00395589845153,1.7,0.09,8.81081685215,3.19781392533,11.3481743,0.000496804639075,27.4243475193,0.112267241379
2020-01-22 07:07:35,55.7136,-35.7491,138.0,5.869,34.815,-0.00366104015474,0.2848,1.84365,0.00441911841073,1.6,0.05,8.14813556876,1.77925149698,11.3420597216,0.000456757142369,27.4274467266,0.114568965517
2020-01-22 07:07:35,55.7136,-35.7491,140.0,5.869,34.815,-0.00366104015424,0.2848,1.86775,0.00349267849233,1.6,0.06,8.23097026835,1.95657081403,11.337745971,0.000461763051607,27.4274725378,0.114568965517
2020-01-22 07:07:35,55.7136,-35.7491,142.0,5.874,34.816,-0.00366104015387,0.29014,1.8316,0.00441911841073,1.6,0.04,8.14824776042,1.77949165898,11.3348712504,0.000456763922392,27.4276601872,0.116870689655
2020-01-22 07:07:35,55.7136,-35.7491,144.0,5.882,34.817,-0.00366104015294,0.29726,1.8557,0.00395589845153,1.7,0.07,8.35554072563,2.22323138648,11.3376309651,0.000469291157656,27.4274699813,0.119939655172
