datetime,lat,lon,p,t,s,o2_t,fchl,fdom,par,tilt,tilt_std,bbp,sigma,poc,o2_c,chla_adj,cphyto
2019-10-09 07:08:37,56.7904,-32.8592,0.3,9.954,34.796,-0.00366103946069,1.60378,1.8798,0.00302945853314,10.7,nan,0.00132966416871,26.8040026973,32.699364184,12.4696765658,0.683094827586,22.5924628316
2019-10-09 07:08:37,56.7904,-32.8592,2.0,9.959,34.795,-0.00366103946084,1.61624,1.89185,0.00256623857394,7.1,nan,0.00130965043156,26.8024073194,31.9904375868,12.4682694372,0.688465517241,22.2612878492
2019-10-09 07:08:37,56.7904,-32.8592,4.1,9.958,34.795,-0.00366103946113,1.65184,1.8798,0.00256623857394,7.3,nan,0.00132216374693,26.8026214062,32.4336842438,12.4661510339,0.703810344828,22.4683504766
2019-10-09 07:08:37,56.7904,-32.8592,5.9,9.959,34.795,-0.00366103946112,1.61446,1.8798,0.00256623857394,5.5,nan,0.00133467997776,26.8024891393,32.8770341721,12.4641947427,0.687698275862,22.6754613471
2019-10-09 07:08:37,56.7904,-32.8592,8.1,9.959,34.795,-0.00366103946125,1.62158,1.8557,0.00349267849233,4.2,2.12,0.00130965043156,26.8025353069,31.9904375868,12.4621903488,0.690767241379,22.2612878492
2019-10-09 07:08:37,56.7904,-32.8592,10.0,9.96,34.795,-0.00366103946125,1.68566,1.86775,0.00349267849233,4.0,1.98,0.00134219029924,26.8024051567,33.1430647796,12.4596531086,0.718387931034,22.7997375164
2019-10-09 07:08:37,56.7904,-32.8592,12.0,9.962,34.795,-0.00366103946121,1.61802,1.86775,0.00349267849233,3.8,1.92,0.00127461343946,26.8020809247,30.7493572527,12.4548874386,0.689232758621,21.6815173067
2019-10-09 07:08:37,56.7904,-32.8592,13.9,9.962,34.795,-0.00366103946132,1.6198,1.86775,0.00349267849233,2.6,1.1,0.00124457798403,26.8020959968,29.6854413504,12.4510119731,0.69,21.1845091092
2019-10-09 07:08:37,56.7904,-32.8592,16.0,9.963,34.795,-0.00366103946153,1.66786,1.86775,0.00395589845153,1.9,1.02,0.0013146621707,26.8019426176,32.1679634104,12.4470573316,0.710715517241,22.3442190183
2019-10-09 07:08:37,56.7904,-32.8592,18.0,9.961,34.794,-0.00366103946208,1.61268,1.8798,0.00395589845153,3.1,1.5,0.00126960868286,26.8015176605,30.5720787643,12.4454436457,0.686931034483,21.5987016802
2019-10-09 07:08:37,56.7904,-32.8592,20.0,9.961,34.794,-0.00366103946237,1.64116,1.86775,0.00395589845153,2.5,0.96,0.00133468550296,26.8015335434,32.8772298859,12.4407815708,0.699206896552,22.6755527748
2019-10-09 07:08:37,56.7904,-32.8592,22.0,9.961,34.794,-0.00366103946268,1.77822,1.8557,0.00349267849233,2.3,1.04,0.00127211163748,26.801627632,30.6607384228,12.4329464875,0.758284482759,21.64011903
2019-10-09 07:08:37,56.7904,-32.8592,24.0,9.962,34.794,-0.00366103946297,1.64294,1.8798,0.00349267849233,1.9,1.06,0.00124958650331,26.8015517144,29.8628531202,12.431544565,0.699974137931,21.2673869981
2019-10-09 07:08:37,56.7904,-32.8592,26.0,9.961,34.794,-0.00366103946361,1.67498,1.8798,0.00302945853314,1.9,0.79,0.00125959686438,26.8018158325,30.2174401302,12.4251820109,0.713784482759,21.4330322811
2019-10-09 07:08:37,56.7904,-32.8592,28.0,9.961,34.794,-0.0036610394641,1.70702,1.86775,0.00349267849233,1.9,0.68,0.001262099819,26.8019099443,30.3060997887,12.4200627233,0.727594827586,21.4744496309
2019-10-09 07:08:37,56.7904,-32.8592,30.0,9.962,34.794,-0.00366103946442,1.69456,1.8798,0.00395589845153,1.7,0.83,0.00132467514189,26.801834064,32.522642876,12.4106199233,0.722224137931,22.5099074919
2019-10-09 07:08:37,56.7904,-32.8592,32.0,9.964,34.795,-0.00366103946473,1.6821,1.86775,0.00395589845153,1.7,0.35,0.00125208976243,26.8023396693,29.9515235649,12.4054599552,0.716853448276,21.3088093867
2019-10-09 07:08:37,56.7904,-32.8592,33.9,9.964,34.795,-0.00366103946546,1.66074,1.8798,0.00349267849233,1.6,0.31,0.00131466362792,26.802401156,32.168015028,12.394859132,0.707646551724,22.3442431315
2019-10-09 07:08:37,56.7904,-32.8592,35.9,9.969,34.796,-0.00366103946561,1.68032,1.86775,0.00395589845153,1.6,0.19,0.00134470375807,26.8023966043,33.2320965183,12.3829868746,0.716086206897,22.8413286833
2019-10-09 07:08:37,56.7904,-32.8592,38.0,9.966,34.796,-0.00366103946697,1.68388,1.8557,0.00395589845153,1.7,0.36,0.00127962256746,26.8029747468,30.9267905845,12.3669659383,0.717620689655,21.7644052683
2019-10-09 07:08:37,56.7904,-32.8592,40.0,9.965,34.796,-0.00366103946846,1.63226,1.86775,0.00395589845153,1.6,0.34,0.00125459156423,26.8032095256,30.0401423881,12.3511627718,0.695370689655,21.3502076602
2019-10-09 07:08:37,56.7904,-32.8592,42.0,9.965,34.796,-0.00366103946958,1.69812,1.8798,0.00395589845153,1.6,0.4,0.00139225406829,26.8032765355,34.916423607,12.3320664754,0.72375862069,23.6281618988
2019-10-09 07:08:37,56.7904,-32.8592,44.0,9.965,34.796,-0.00366103947135,1.65184,1.89185,0.00349267849233,1.6,0.13,0.0012896329289,26.8033435531,31.2813776074,12.3035549544,0.703810344828,21.9300505573
2019-10-09 07:08:37,56.7904,-32.8592,46.0,9.963,34.795,-0.00366103947351,1.6732,1.8798,0.00395589845153,1.7,0.22,0.00127962080602,26.8029696248,30.926728191,12.2405821481,0.713017241379,21.7643761212
2019-10-09 07:08:37,56.7904,-32.8592,48.0,9.959,34.792,-0.00366103947698,1.64294,1.9039,0.00441911841073,1.7,0.21,0.00137223212744,26.8013736205,34.2072064181,12.1180871327,0.699974137931,23.2968511665
2019-10-09 07:08:37,56.7904,-32.8592,50.0,9.753,34.811,-0.00366103951929,1.00392,1.9039,0.00395589845153,1.6,0.17,0.001091549124,26.8510730218,24.2648530702,11.8474277491,0.424534482759,18.6522818865
2019-10-09 07:08:37,56.7904,-32.8592,52.0,8.854,34.884,-0.00366103965451,0.51264,1.8557,0.00488233836992,1.5,0.11,0.000764601968466,27.0550101802,12.683730927,11.6108905157,0.212775862069,13.2421619429
