datetime,lat,lon,p,t,s,o2_t,fchl,fdom,par,tilt,tilt_std,o2_c,bbp,cphyto,sigma,poc,chla_adj
2020-03-16 07:13:30,56.0564,-37.7386,0.3,4.417,34.836,-0.00366104040086,0.42542,1.81955,0.00441911841073,13.9,nan,11.1819794502,0.00142246862612,24.1281337723,27.6127208203,35.9866836744,0.175181034483
2020-03-16 07:13:30,56.0564,-37.7386,1.9,4.436,34.824,-0.00366104040145,0.43076,1.81955,0.00488233836992,13.3,nan,11.1823893898,0.000736731090397,12.780971837,27.6011240069,11.696488684,0.177482758621
2020-03-16 07:13:30,56.0564,-37.7386,4.0,4.444,34.827,-0.00366104040163,0.42186,1.84365,0.00441911841073,9.1,nan,11.1815412592,0.000491449829229,8.72220876042,27.6026479172,3.00813585093,0.173646551724
2020-03-16 07:13:30,56.0564,-37.7386,5.9,4.444,34.827,-0.00366104040162,0.45924,1.81955,0.00441911841073,6.4,nan,11.1750838972,0.00052148528466,9.21921695792,27.6026637183,4.07205175324,0.18975862069
2020-03-16 07:13:30,56.0564,-37.7386,7.9,4.444,34.827,-0.00366104040158,0.43788,1.81955,0.00441911841073,7.5,nan,11.178191908,0.000556526649331,9.79905985501,27.6026803573,5.3132869726,0.180551724138
2020-03-16 07:13:30,56.0564,-37.7386,10.0,4.443,34.827,-0.00366104040167,0.46102,1.81955,0.00349267849233,5.2,nan,11.1780082236,0.000516477313813,9.1363481441,27.6028074072,3.89465940987,0.190525862069
2020-03-16 07:13:30,56.0564,-37.7386,12.0,4.443,34.827,-0.00366104040174,0.44678,1.81955,0.00349267849233,4.4,1.76,11.1749426489,0.000513974359193,9.09493079431,27.6027909123,3.80599975134,0.184387931034
2020-03-16 07:13:30,56.0564,-37.7386,13.9,4.443,34.826,-0.00366104040177,0.46102,1.79545,0.00349267849233,3.1,1.4,11.1751827722,0.000523988912343,9.26064544515,27.6019809931,4.16073525301,0.190525862069
2020-03-16 07:13:30,56.0564,-37.7386,16.0,4.443,34.826,-0.00366104040169,0.42186,1.7834,0.00349267849233,4.0,2.44,11.1756489119,0.000521485957723,9.21922809536,27.601963687,4.07207559448,0.173646551724
2020-03-16 07:13:30,56.0564,-37.7386,18.0,4.444,34.826,-0.00366104040159,0.43966,1.8316,0.00349267849233,3.7,1.88,11.1728241855,0.000493955518494,8.76367136146,27.6018376564,3.09689237611,0.181318965517
2020-03-16 07:13:30,56.0564,-37.7386,20.0,4.444,34.826,-0.00366104040156,0.46102,1.8075,0.00256623857394,2.4,1.04,11.1700003269,0.000491452563875,8.72225401167,27.601821191,3.00823271758,0.190525862069
2020-03-16 07:13:30,56.0564,-37.7386,22.0,4.444,34.827,-0.00366104040157,0.43076,1.8316,0.00395589845153,2.5,1.11,11.1732902055,0.00052398823928,9.26063430771,27.6026839744,4.16071141177,0.177482758621
2020-03-16 07:13:30,56.0564,-37.7386,24.0,4.444,34.826,-0.00366104040156,0.45568,1.81955,0.00349267849233,2.6,0.8,11.1690545282,0.000569044157074,10.0061918552,27.6019582563,5.75668213188,0.188224137931
