datetime,lat,lon,p,t,s,o2_t,fchl,fdom,par,tilt,tilt_std,bbp,cphyto,o2_c,sigma,chla_adj,poc
2019-07-31 07:22:43,57.1667,-32.8207,0.3,12.899,34.661,-0.00366103897845,5.8028,2.0244,0.00163979865555,8.5,nan,0.0044125100279,73.6054953166,14.1844011406,26.1551526132,2.49301724138,141.899930208
2019-07-31 07:22:43,57.1667,-32.8207,2.1,12.905,34.659,-0.0036610389754,5.9897,2.0244,0.00163979865555,6.0,nan,0.00437247488591,72.9430184714,14.1891717606,26.152459246,2.57357758621,140.481805409
2019-07-31 07:22:43,57.1667,-32.8207,4.1,12.906,34.659,-0.00366103897422,6.13032,2.01235,0.00117657869635,4.1,2.35,0.00443254696489,73.9370541956,14.1863091373,26.1523164043,2.63418965517,142.60967859
2019-07-31 07:22:43,57.1667,-32.8207,5.9,12.906,34.659,-0.0036610389746,6.1855,2.01235,0.00117657869635,5.3,nan,0.00428737559697,71.5348479077,14.1840195814,26.1523670603,2.65797413793,137.467418396
2019-07-31 07:22:43,57.1667,-32.8207,8.0,12.909,34.659,-0.00366103897471,6.27984,2.01235,0.00117657869635,3.7,1.99,0.0042698584184,71.2449844374,14.1760480601,26.1518287997,2.69863793103,136.846924897
2019-07-31 07:22:43,57.1667,-32.8207,10.0,12.909,34.659,-0.00366103897552,6.29942,2.01235,0.00163979865555,3.4,1.7,0.00440752092246,73.5229386759,14.1629973181,26.1518851157,2.70707758621,141.723206116
2019-07-31 07:22:43,57.1667,-32.8207,11.9,12.91,34.659,-0.00366103897638,6.23712,2.0003,0.00163979865555,3.6,1.37,0.00442253981792,73.7714620976,14.1521495234,26.1517146237,2.68022413793,142.25520543
2019-07-31 07:22:43,57.1667,-32.8207,14.0,12.91,34.659,-0.00366103897749,6.34036,2.0244,0.00163979865555,2.9,1.6,0.00422230344837,70.4580741143,14.1378736184,26.1517462911,2.72472413793,135.162432748
2019-07-31 07:22:43,57.1667,-32.8207,16.0,12.906,34.659,-0.00366103897941,6.4258,2.01235,0.00117657869635,2.3,0.97,0.00429738741545,71.7005173069,14.1221367942,26.1525728794,2.76155172414,137.82205703
2019-07-31 07:22:43,57.1667,-32.8207,18.0,12.907,34.659,-0.00366103898121,6.32078,2.01235,0.00163979865555,2.7,1.16,0.00450513381687,75.1381766672,14.1032978822,26.1524039468,2.71628448276,145.180850061
