platformId,timestamp_utc_,latitude_deg_,longitude_deg_,ttff_sec_,x_Sat,hdop,sst_degC_,slp_mB_,drogue_counts_,battery_volts_
300234065316880,2017-09-13 18:03:00,53.267658,-39.5289167,204,5,3,11.52,850,50,11.6
300234065316880,2017-09-13 19:00:00,53.2736405,-39.5259526,1,4,5,11.51,850,39,11.8
300234065316880,2017-09-13 21:02:00,53.2854277,-39.5119899,120,4,5,11.48,850,60,11.6
300234065316880,2017-09-13 22:01:00,53.2892401,-39.5057851,60,5,4,11.48,850,48,11.6
300234065316880,2017-09-13 23:00:00,53.2913461,-39.5008603,0,5,3,11.48,850,40,11.8
300234065316880,2017-09-14 02:01:00,53.3028529,-39.4948445,90,4,7,11.47,850,60,11.8
300234065316880,2017-09-14 05:01:00,53.3095772,-39.4990631,113,6,3,11.46,850,60,11.8
300234065316880,2017-09-14 06:00:00,53.3114661,-39.5027988,0,6,3,11.43,850,39,11.8
300234065316880,2017-09-14 08:04:00,53.3211992,-39.5113459,241,6,2,11.46,850,46,11.6
300234065316880,2017-09-14 09:00:00,53.3279754,-39.5121706,2,5,2,11.43,850,44,11.8
300234065316880,2017-09-14 10:00:00,53.3330237,-39.5119411,2,4,13,11.44,850,45,11.8
300234065316880,2017-09-14 16:03:00,53.3581938,-39.5212007,232,7,2,11.45,850,45,11.6
300234065316880,2017-09-14 17:00:00,53.3619088,-39.5235158,1,5,99,11.43,850,42,11.8
300234065316880,2017-09-14 18:00:00,53.3653395,-39.524433,1,6,5,11.41,850,41,11.8
300234065316880,2017-09-14 19:01:00,53.3687976,-39.5248401,88,5,4,11.42,850,46,11.6
300234065316880,2017-09-14 20:00:00,53.3715171,-39.5245195,3,4,2,11.4,850,39,11.6
300234065316880,2017-09-14 21:00:00,53.3727932,-39.5267751,4,4,4,11.39,850,47,11.6
300234065316880,2017-09-14 22:03:00,53.3764959,-39.5171911,208,5,4,11.38,850,44,11.6
300234065316880,2017-09-14 23:00:00,53.376526,-39.5145944,1,4,5,11.39,850,46,11.8
