platformId,timestamp_utc_,latitude_deg_,longitude_deg_,ttff_sec_,x_Sat,hdop,sst_degC_,slp_mB_,drogue_counts_,battery_volts_
300234065316710,2017-09-14 01:03:00,53.2959857,-39.4960059,228,4,3,11.48,850,25,11.6
300234065316710,2017-09-14 02:00:00,53.2998464,-39.4944145,3,5,3,11.47,850,60,11.6
300234065316710,2017-09-14 03:01:00,53.3024308,-39.4950714,58,3,43,11.47,850,22,11.6
300234065316710,2017-09-14 05:01:00,53.3063391,-39.4994843,91,5,8,11.47,850,36,11.6
300234065316710,2017-09-14 06:00:00,53.3080421,-39.5016282,5,5,24,11.46,850,29,11.6
300234065316710,2017-09-14 08:03:00,53.3180842,-39.5102855,231,7,2,11.46,850,24,11.6
300234065316710,2017-09-14 09:00:00,53.3243066,-39.5109423,1,6,3,11.46,850,28,11.8
300234065316710,2017-09-14 10:00:00,53.3297878,-39.510555,6,4,8,11.46,850,24,11.6
300234065316710,2017-09-14 11:01:00,53.3350362,-39.5107454,60,4,11,11.46,850,26,11.6
300234065316710,2017-09-14 13:04:00,53.3430153,-39.5102531,256,3,55,11.46,850,24,11.6
300234065316710,2017-09-14 14:00:00,53.3444761,-39.5129545,1,4,4,11.47,850,33,11.8
300234065316710,2017-09-14 15:00:00,53.348613,-39.5175149,53,7,2,11.47,850,35,11.6
300234065316710,2017-09-14 16:00:00,53.3530899,-39.5196514,1,6,3,11.47,850,24,11.8
300234065316710,2017-09-14 17:00:00,53.3570019,-39.5204888,0,5,4,11.46,850,60,11.8
300234065316710,2017-09-14 18:03:00,53.3607053,-39.5226082,227,7,2,11.46,850,44,11.6
300234065316710,2017-09-14 19:00:00,53.3636969,-39.5226884,1,6,3,11.45,850,28,11.8
300234065316710,2017-09-14 20:00:00,53.3671163,-39.5218482,4,4,2,11.43,850,21,11.6
300234065316710,2017-09-14 21:02:00,53.3706157,-39.5181971,142,5,2,11.42,850,25,11.6
300234065316710,2017-09-14 22:00:00,53.3720696,-39.5147256,1,7,20,11.42,850,60,11.8
