Cruise,Subregion,Season,Station,Date,datetime,decimaldate,Latitude,Longitude,degree_bin,CampCN,Z_MLD,Z_XML,Target_Z,PhytoC,sd_PhytoC
AT32,Temperate,Late Autumn,1,11/12/15,2015-11-12T12:17:00Z,2015.864416,51.034,-43.617,51,3,121.8,119.77,750,,
AT32,Temperate,Late Autumn,1,11/12/15,2015-11-12T12:17:00Z,2015.864416,51.034,-43.617,51,3,121.8,119.77,1000,,
AT32,Temperate,Late Autumn,1,11/12/15,2015-11-12T12:17:00Z,2015.864416,51.034,-43.617,51,3,121.8,119.77,1250,,
AT32,Temperate,Late Autumn,1,11/12/15,2015-11-12T12:17:00Z,2015.864416,51.034,-43.617,51,3,121.8,119.77,1500,,
AT32,Subpolar,Late Autumn,2,11/14/15,2015-11-14T11:29:00Z,2015.869804,54.1,-40.167,54,6,95.27,66.61,0,5.750778,
AT32,Subpolar,Late Autumn,2,11/14/15,2015-11-14T11:29:00Z,2015.869804,54.1,-40.167,54,6,95.27,66.61,5,,
AT32,Subpolar,Late Autumn,2,11/14/15,2015-11-14T11:29:00Z,2015.869804,54.1,-40.167,54,6,95.27,66.61,10,,
AT32,Subpolar,Late Autumn,2,11/14/15,2015-11-14T11:29:00Z,2015.869804,54.1,-40.167,54,6,95.27,66.61,25,,
AT32,Subpolar,Late Autumn,2,11/14/15,2015-11-14T11:29:00Z,2015.869804,54.1,-40.167,54,6,95.27,66.61,50,,
AT32,Subpolar,Late Autumn,2,11/14/15,2015-11-14T11:29:00Z,2015.869804,54.1,-40.167,54,6,95.27,66.61,75,,
AT32,Subpolar,Late Autumn,2,11/14/15,2015-11-14T11:29:00Z,2015.869804,54.1,-40.167,54,6,95.27,66.61,95.27,,
AT32,Subpolar,Late Autumn,2,11/14/15,2015-11-14T11:29:00Z,2015.869804,54.1,-40.167,54,6,95.27,66.61,100,,
AT32,Subpolar,Late Autumn,2,11/14/15,2015-11-14T11:29:00Z,2015.869804,54.1,-40.167,54,6,95.27,66.61,150,,
AT32,Subpolar,Late Autumn,2,11/14/15,2015-11-14T11:29:00Z,2015.869804,54.1,-40.167,54,6,95.27,66.61,200,,
AT32,Subpolar,Late Autumn,2,11/14/15,2015-11-14T11:29:00Z,2015.869804,54.1,-40.167,54,6,95.27,66.61,222.7,,
AT32,Subpolar,Late Autumn,2,11/14/15,2015-11-14T11:29:00Z,2015.869804,54.1,-40.167,54,6,95.27,66.61,300,,
