date	depth	time	station	lat	lon	prochlorococcus_abun	synechococcus_abun	picoeukaryote_abun	nanoeukaryote_abun
20160525	50	5:53:05	S4	47.5793	-38.8488	0.00E+00	3.18E+06	2.17E+07	9.97E+05
20160525	75	5:53:05	S4	47.5793	-38.8488	0.00E+00	2.88E+06	1.86E+07	9.27E+05
20160525	100	5:53:05	S4	47.5793	-38.8488	0.00E+00	2.06E+06	1.00E+07	4.48E+05
20160525	150	5:53:05	S4	47.5793	-38.8488	0.00E+00	2.00E+06	9.96E+06	4.56E+05
20160525	200	5:53:05	S4	47.5793	-38.8488	0.00E+00	2.09E+06	9.96E+06	4.95E+05
20160525	5	15:12:23	S4	47.5147	-38.7979	0.00E+00	3.31E+06	1.95E+07	8.02E+05
20160525	10	15:12:23	S4	47.5147	-38.7979	0.00E+00	3.15E+06	1.92E+07	6.28E+05
20160525	25	15:12:23	S4	47.5147	-38.7979	0.00E+00	3.14E+06	1.80E+07	5.81E+05
20160525	50	15:12:23	S4	47.5147	-38.7979	0.00E+00	2.88E+06	1.67E+07	6.22E+05
20160525	75	15:12:23	S4	47.5147	-38.7979	0.00E+00	2.31E+06	1.21E+07	3.85E+05
20160525	100	15:12:23	S4	47.5147	-38.7979	0.00E+00	2.24E+06	1.02E+07	4.79E+05
20160525	150	15:12:23	S4	47.5147	-38.7979	0.00E+00	1.89E+06	8.60E+06	4.24E+05
20160525	200	15:12:23	S4	47.5147	-38.7979	0.00E+00	1.88E+06	8.49E+06	5.00E+05
20160525	5	17:45:00	S4	47.5106	-38.7984	0.00E+00	3.31E+06	1.95E+07	8.02E+05
20160525	5	20:05:00	S4	47.4615	-38.7758	0.00E+00	3.98E+06	2.87E+07	1.61E+06
20160525	10	20:05:43	S4	47.4615	-38.7758	0.00E+00	3.47E+06	2.28E+07	1.00E+06
20160525	25	20:05:43	S4	47.4615	-38.7758	0.00E+00	3.70E+06	1.91E+07	6.04E+05
20160525	50	20:05:43	S4	47.4615	-38.7758	0.00E+00	2.62E+06	1.52E+07	3.84E+05
20160525	75	20:05:43	S4	47.4615	-38.7758	0.00E+00	1.82E+06	9.00E+06	3.49E+05
20160525	100	20:05:43	S4	47.4615	-38.7758	0.00E+00	1.69E+06	7.53E+06	2.82E+05
20160525	150	20:05:43	S4	47.4615	-38.7758	0.00E+00	1.53E+06	7.09E+06	2.69E+05
20160525	200	20:05:43	S4	47.4615	-38.7758	0.00E+00	1.57E+06	7.03E+06	2.33E+05
20160525	250	20:05:43	S4	47.4615	-38.7758	0.00E+00	1.59E+06	6.81E+06	2.59E+05
20160526	5	3:30:00	S4	47.4089	-38.6805	0.00E+00	4.53E+06	3.10E+07	7.42E+06
20160526	10	6:09:56	S4	47.4077	-38.6758	0.00E+00	4.41E+06	4.32E+07	1.47E+06
20160526	5	6:09:56	S4	47.4077	-38.6758	0.00E+00	4.60E+06	4.77E+07	1.64E+06
20160526	25	6:09:56	S4	47.4077	-38.6758	0.00E+00	5.42E+06	4.65E+07	1.55E+06
20160526	50	6:09:56	S4	47.4077	-38.6758	0.00E+00	1.81E+06	3.16E+07	9.95E+05
20160526	75	6:09:56	S4	47.4077	-38.6758	0.00E+00	1.18E+06	2.92E+07	8.78E+05
20160526	100	6:09:56	S4	47.4077	-38.6758	0.00E+00	4.87E+05	1.93E+07	6.31E+05
20160526	150	6:09:56	S4	47.4077	-38.6758	0.00E+00	2.84E+05	9.74E+06	2.96E+05
20160526	200	6:09:56	S4	47.4077	-38.6758	0.00E+00	3.43E+05	1.05E+07	4.44E+05
20160526	5	16:35:28	S4	47.3599	-38.5568	0.00E+00	4.25E+06	3.58E+07	1.64E+06
20160526	10	16:35:28	S4	47.3599	-38.5568	0.00E+00	4.07E+06	3.51E+07	1.74E+06
20160526	25	16:35:28	S4	47.3599	-38.5568	0.00E+00	3.44E+06	2.07E+07	5.00E+05
20160526	50	16:35:28	S4	47.3599	-38.5568	0.00E+00	2.36E+06	1.18E+07	3.57E+05
20160526	75	16:35:28	S4	47.3599	-38.5568	0.00E+00	2.09E+06	1.09E+07	2.93E+05
20160526	100	16:35:28	S4	47.3599	-38.5568	0.00E+00	1.95E+06	9.98E+06	3.24E+05
20160526	150	16:35:28	S4	47.3599	-38.5568	0.00E+00	1.75E+06	8.64E+06	3.23E+05
20160526	200	16:35:28	S4	47.3599	-38.5568	0.00E+00	1.22E+06	5.32E+06	2.34E+05
20160526	200	16:35:28	S4	47.3599	-38.5568	0.00E+00	1.57E+06	7.15E+06	3.05E+05
20160526	250	16:35:28	S4	47.3599	-38.5568	0.00E+00	1.73E+06	8.00E+06	4.54E+05
20160526	5	17:07:00	S4	47.3568	-38.5489	0.00E+00	4.73E+06	3.99E+07	1.83E+06
20160527	5	2:33:39	S4	47.367	-38.321	0.00E+00	9.63E+06	9.06E+07	3.78E+06
20160527	5	3:24:00	S4	47.3669	-38.3211	0.00E+00	9.60E+06	7.99E+07	1.66E+07
20160527	5	6:07:55	S4	47.3547	-38.3125	0.00E+00	9.09E+06	8.97E+07	3.62E+06
20160527	10	6:07:55	S4	47.3547	-38.3125	0.00E+00	8.54E+06	8.51E+07	3.78E+06
20160527	25	6:07:55	S4	47.3547	-38.3125	0.00E+00	8.85E+06	7.49E+07	2.66E+06
20160527	50	6:07:55	S4	47.3547	-38.3125	0.00E+00	3.91E+06	2.15E+07	6.63E+05
20160527	75	6:07:55	S4	47.3547	-38.3125	0.00E+00	2.30E+06	1.09E+07	4.15E+05
20160527	100	6:07:55	S4	47.3547	-38.3125	0.00E+00	1.78E+06	7.67E+06	3.21E+05
20160527	150	6:07:55	S4	47.3547	-38.3125	0.00E+00	1.92E+06	9.03E+06	3.81E+05
20160527	200	6:07:55	S4	47.3547	-38.3125	0.00E+00	1.63E+06	6.59E+06	4.97E+05
20160527	5	8:15:00	S4	47.3133	-38.2617	0.00E+00	9.24E+06	9.13E+07	3.68E+06
20160527	5	15:00:43	S4	47.2142	-38.2273	0.00E+00	1.01E+07	7.52E+07	2.27E+06
20160527	10	15:00:43	S4	47.2142	-38.2273	0.00E+00	9.97E+06	6.69E+07	2.29E+06
20160527	25	15:00:43	S4	47.2142	-38.2273	0.00E+00	5.43E+06	3.43E+07	8.81E+05
20160527	50	15:00:43	S4	47.2142	-38.2273	0.00E+00	2.35E+06	1.33E+07	2.90E+05
20160527	75	15:00:43	S4	47.2142	-38.2273	0.00E+00	2.12E+06	1.15E+07	2.37E+05
20160527	100	15:00:43	S4	47.2142	-38.2273	0.00E+00	1.62E+06	7.35E+06	2.57E+05
20160527	150	15:00:43	S4	47.2142	-38.2273	0.00E+00	1.81E+06	7.73E+06	3.12E+05
20160527	200	15:00:43	S4	47.2142	-38.2273	0.00E+00	2.34E+06	7.89E+06	4.17E+05
20160527	250	15:00:43	S4	47.2142	-38.2273	0.00E+00	1.94E+06	7.10E+06	3.95E+05
20160527	5	18:30:00	S4	47.3116	-38.2607	0.00E+00	9.69E+06	7.21E+07	2.18E+06
20160528	5	12:30:00	T	45.5414	-41.2267	0.00E+00	3.57E+07	6.05E+07	4.71E+06
20160529	5	3:15:00	T	45.0528	-43.7459	0.00E+00	1.05E+08	2.66E+07	7.74E+06
20160531	5	6:55:00	S5	44.9984	-43.2002	0.00E+00	6.01E+07	2.64E+07	3.02E+06
20160531	5	17:30:00	T	44.8836	-45.2615	0.00E+00	1.54E+07	1.50E+07	2.50E+06
20160601	5	7:57:00	T	44.5639	-48.8017	0.00E+00	2.59E+05	1.39E+06	8.93E+05
20160601	5	19:17:00	T	44.3085	-51.2211	0.00E+00	1.82E+05	1.85E+06	5.18E+05
20160602	5	9:55:00	T	43.8067	-54.9636	0.00E+00	3.69E+07	2.49E+07	3.28E+06
20160602	5	16:51:00	T	43.4883	-56.7267	0.00E+00	8.87E+07	9.20E+06	3.57E+06
20160602	5	21:48:00	T	43.2296	-58.2743	0.00E+00	9.90E+07	1.11E+07	3.08E+06
20160603	5	10:35:00	T	42.4807	-61.8868	0.00E+00	5.97E+07	5.11E+06	1.14E+06
20160603	5	18:37:00	T	41.8965	-64.0791	0.00E+00	3.56E+07	2.04E+07	2.56E+06
20160604	5	10:53:00	T	40.1626	-68.1073	0.00E+00	2.21E+07	5.15E+06	3.92E+06
