date	depth	time	station	lat	lon	prochlorococcus_abun	synechococcus_abun	picoeukaryote_abun	nanoeukaryote_abun
20160512	5	14:20:00	T	41.1121	-67.0432	0.00E+00	6.86E+05	1.26E+07	4.46E+06
20160512	5	19:25:00	T	41.6095	-65.3632	0.00E+00	3.66E+06	2.11E+07	2.37E+06
20160513	5	1:45:00	T	42.1114	-63.6505	0.00E+00	1.61E+07	4.22E+07	4.41E+06
20160513	5	13:19:00	T	43.081	-60.3469	0.00E+00	3.51E+07	5.47E+07	5.27E+06
20160513	5	17:17:00	T	43.3769	-59.3193	0.00E+00	1.09E+06	1.37E+07	6.60E+05
20160513	5	23:38:00	T	43.8823	-57.5371	0.00E+00	1.81E+06	1.88E+07	1.20E+06
20160514	5	15:14:00	T	45.1827	-53.1453	0.00E+00	2.46E+05	5.56E+05	7.60E+05
20160514	5	22:50:00	T	45.9225	-51.2109	0.00E+00	1.58E+05	1.47E+06	3.00E+06
20160515	5	13:31:00	T	48.0852	-48.8786	0.00E+00	0.00E+00	3.47E+06	1.21E+06
20160515	5	19:00:00	T	48.9341	-48.0671	0.00E+00	1.97E+06	1.00E+07	3.15E+06
20160516	5	12:18:00	T	51.9279	-46.3922	0.00E+00	2.22E+06	6.18E+06	1.64E+06
20160517	5	3:31:00	S0	54.4265	-46.1476	0.00E+00	2.22E+06	1.18E+07	1.16E+06
20160517	5	6:05:00	T	54.432	-46.1385	0.00E+00	3.06E+06	1.60E+07	3.71E+06
20160518	5	2:30:00	S1	56.3414	-46.0448	0.00E+00	9.02E+05	8.60E+06	2.29E+06
20160519	5	3:15:00	S1	56.2641	-45.9086	0.00E+00	9.88E+05	1.08E+07	1.56E+06
20160519	5	16:48:00	T	54.4699	-43.7332	0.00E+00	3.21E+06	2.09E+07	2.01E+06
20160520	5	4:00:00	S2	53.5526	-42.2586	0.00E+00	4.10E+06	1.65E+07	4.13E+06
20160521	5	3:40:00	S2	53.4826	-42.0784	0.00E+00	3.41E+06	1.48E+07	4.34E+06
20160522	5	3:25:00	S3	50.262	-43.8615	0.00E+00	2.29E+06	5.65E+06	2.71E+06
20160522	5	14:06:00	S3	50.0244	-43.9051	0.00E+00	2.21E+06	5.49E+06	3.76E+06
20160523	5	2:15:00	S3	49.9675	-43.9483	0.00E+00	2.09E+06	7.27E+06	4.22E+06
20160523	5	12:40:00	T	48.7634	-41.5087	0.00E+00	5.93E+06	9.68E+06	1.54E+06
20160524	5	2:36:58	S4	47.656	-39.19	0.00E+00	2.76E+06	1.17E+07	5.17E+05
20160524	25	6:10:22	S4	47.6685	-39.1611	0.00E+00	2.15E+06	1.19E+07	5.64E+05
20160524	50	6:10:22	S4	47.6685	-39.1611	0.00E+00	2.18E+06	1.18E+07	5.89E+05
20160524	75	6:10:22	S4	47.6685	-39.1611	0.00E+00	2.16E+06	1.18E+07	5.82E+05
20160524	100	6:10:22	S4	47.6685	-39.1611	0.00E+00	2.07E+06	1.15E+07	6.19E+05
20160524	150	6:10:22	S4	47.6685	-39.1611	0.00E+00	2.16E+06	1.20E+07	8.10E+05
20160524	200	6:10:22	S4	47.6685	-39.1611	0.00E+00	2.04E+06	1.15E+07	8.03E+05
20160524	5	9:50:00	S4	47.6564	-39.1494	0.00E+00	2.15E+06	1.19E+07	5.64E+05
20160524	5	15:30:40	S4	47.6244	-39.0526	0.00E+00	2.25E+06	1.19E+07	7.12E+05
20160524	25	15:30:40	S4	47.6244	-39.0526	0.00E+00	2.13E+06	1.13E+07	6.67E+05
20160524	50	15:30:40	S4	47.6244	-39.0526	0.00E+00	2.28E+06	1.11E+07	4.91E+05
20160524	75	15:30:40	S4	47.6244	-39.0526	0.00E+00	2.18E+06	1.12E+07	6.22E+05
20160524	100	15:30:40	S4	47.6244	-39.0526	0.00E+00	2.14E+06	1.08E+07	5.37E+05
20160524	150	15:30:40	S4	47.6244	-39.0526	0.00E+00	2.14E+06	1.15E+07	6.58E+05
20160524	200	15:30:40	S4	47.6244	-39.0526	0.00E+00	2.14E+06	1.14E+07	6.60E+05
20160524	5	18:45:00	S4	47.6123	-39.0487	0.00E+00	2.19E+06	1.16E+07	6.94E+05
20160525	5	2:42:00	S4	47.579	-38.849	0.00E+00	2.87E+06	1.85E+07	7.89E+05
20160525	5	3:20:00	S4	47.579	-38.849	0.00E+00	2.16E+06	1.47E+07	4.59E+06
20160525	25	5:53:05	S4	47.5793	-38.8488	0.00E+00	2.99E+06	2.06E+07	1.18E+06
