	Domain	Phylum	Class	Order	Family	Genus
N3271	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N3274	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ia	NA
N3303	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N3304	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
N3310	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	NA
N3316	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Colwellia
N3318	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N3319	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N3321	Bacteria	Bacteroidetes	NA	NA	NA	NA
N3322	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade2	SAR202_Clade2	NA
N3326	Bacteria	Verrucomicrobia	Opitutae	MB11C04_marine_group	NA	NA
N3328	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichales_Incertae_Sedis	Candidatus_Endoecteinascidia
N3330	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Crocinitomix
N3334	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N3337	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	NA
N3341	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NA
N3344	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Salinisphaeraceae	ZD0417_marine_group
N3354	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	P3OB-42	NA
N3356	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N3367	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	NA
N3370	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N3376	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
N3377	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Pseudospirillum
N3384	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Ulvibacter
N3385	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ic	NA
N3388	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
N3391	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
N3393	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella
N3395	Bacteria	Proteobacteria	Gammaproteobacteria	E01-9C-26_marine_group	NA	NA
N3401	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
N3403	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N3413	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NA
N3423	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	NA	NA
N3424	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N3425	Bacteria	Proteobacteria	Betaproteobacteria	NA	NA	NA
N3426	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N3427	Bacteria	Proteobacteria	Gammaproteobacteria	Order_Incertae_Sedis	Family_Incertae_Sedis	Marinicella
N3428	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	NA
N3433	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N3436	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	NA	NA
N3441	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	NA
N3443	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Winogradskyella
N3444	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N3447	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N3454	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	NA	NA
N3455	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Defluviicoccus
N3459	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade1	SAR202_Clade1	NA
N3463	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	WCHB1-69	NA
N3466	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Haliea
N3469	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N3470	Bacteria	Proteobacteria	Gammaproteobacteria	Order_Incertae_Sedis	Family_Incertae_Sedis	Marinicella
N3473	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
N3474	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N3479	Bacteria	Verrucomicrobia	Opitutae	MB11C04_marine_group	NA	NA
N3480	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	NA
N3481	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	NA	NA
N3489	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS5_marine_group
N3491	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N3500	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	FS140-16B-02_marine_group
N3503	Bacteria	Proteobacteria	NA	NA	NA	NA
N3505	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N3513	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Owenweeksia
N3521	Bacteria	Planctomycetes	Pla3_lineage	NA	NA	NA
N3523	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Colwellia
N3530	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N3541	Bacteria	Verrucomicrobia	Opitutae	MB11C04_marine_group	NA	NA
N3544	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Propionibacterium
N3545	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Moritellaceae	Moritella
N3549	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	NA	NA
N3552	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N3555	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	NA
N3558	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ic	NA
N3560	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospira
N3561	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N3567	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
N3570	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	NA
N3571	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	GR-WP33-58	NA
N3574	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Marinoscillum
N3583	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae	NA
N3584	Bacteria	Proteobacteria	SPOTSOCT00m83	NA	NA	NA
N3586	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS5_marine_group
N3589	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ic	NA
N3590	Bacteria	Chloroflexi	NA	NA	NA	NA
N3591	Bacteria	Acidobacteria	Acidobacteria	Subgroup_6	NA	NA
N3596	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Winogradskyella
N3597	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Haliea
N3598	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N3601	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	NA
N3603	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Defluviicoccus
N3608	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N3614	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Crocinitomix
N3620	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N3627	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ic	NA
N3628	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	GR-WP33-58	NA
N3635	Bacteria	Verrucomicrobia	Arctic97B-4_marine_group	NA	NA	NA
N3641	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N3643	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	NA
N3645	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
N3649	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N3657	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	P3OB-42	NA
N3659	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Defluviicoccus
N3660	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	NA	NA
N3663	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade5	SAR202_Clade5	NA
N3670	Bacteria	NA	NA	NA	NA	NA
N3671	Bacteria	Proteobacteria	Gammaproteobacteria	E01-9C-26_marine_group	NA	NA
N3672	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	NA
N3673	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichales_Incertae_Sedis	Candidatus_Endoecteinascidia
N3674	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	NA
N3675	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	OM182_clade	NA
N3677	Bacteria	Proteobacteria	NA	NA	NA	NA
N3683	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	NA
N3684	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	NA	NA
N3685	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Tateyamaria
N3687	Bacteria	Acidobacteria	Acidobacteria	Subgroup_6	NA	NA
N3690	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	NA
N3691	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	NA	NA
N3699	Bacteria	Proteobacteria	Deltaproteobacteria	Sh765B-TzT-29	NA	NA
N3706	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N3710	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade3	SAR202_Clade3	NA
N3711	Bacteria	Acidobacteria	Acidobacteria	Subgroup_6	NA	NA
N3717	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	NA
N3719	Bacteria	Planctomycetes	OM190	NA	NA	NA
N3721	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27_clade
N3722	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N3740	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N3742	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	NA
N3752	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OM1_clade	Candidatus_Actinomarina
N3763	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS2b_marine_group
N3766	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	GR-WP33-58	NA
N3767	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	NA	NA
N3777	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS5_marine_group
N3782	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	NA	NA
N3784	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Crocinitomix
N3788	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	NA
N3790	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	NA
N3798	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	NA	NA
N3799	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Palleronia
N3800	Bacteria	NA	NA	NA	NA	NA
N3801	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	GR-WP33-58	NA
N3803	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade2	SAR202_Clade2	NA
N3813	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	NA
N3823	Bacteria	Proteobacteria	Deltaproteobacteria	Sh765B-TzT-29	NA	NA
N3824	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N3834	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
N3838	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N3839	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade2	SAR202_Clade2	NA
N3845	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Oleispira
N3846	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Sva0996_marine_group	NA
N3853	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	P3OB-42	NA
N3855	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
N3858	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
N3867	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	FS140-16B-02_marine_group
N3868	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA
N3876	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N3877	Bacteria	Gemmatimonadetes	Gemmatimonadetes	BD2-11_terrestrial_group	NA	NA
N3878	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella
N3879	Bacteria	Verrucomicrobia	Opitutae	NA	NA	NA
N3881	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ia	NA
N3892	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	NA	NA
N3900	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ib	NA
N3904	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
N3915	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_I	NA
N3923	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
N3928	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	NA	NA
N3929	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N3930	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N3931	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N3933	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	NA
N3937	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N3943	Bacteria	Bacteroidetes	NA	NA	NA	NA
N3947	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	NA
N3950	Bacteria	Verrucomicrobia	Arctic97B-4_marine_group	NA	NA	NA
N3960	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	NA	NA
N3979	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	FS140-16B-02_marine_group
N3980	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Marixanthomonas
N3981	Bacteria	Saccharibacteria	NA	NA	NA	NA
N3983	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	NA
N3984	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Roseibacillus
N3988	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	FS140-16B-02_marine_group
N3991	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS5_marine_group
N3992	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetovibrio
N3993	Bacteria	Acidobacteria	Acidobacteria	Subgroup_21	NA	NA
N3999	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4007	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4020	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N4021	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA
N4023	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	NA	NA
N4032	Bacteria	Gemmatimonadetes	Gemmatimonadetes	BD2-11_terrestrial_group	NA	NA
N4036	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	OM75_clade
N4037	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	P3OB-42	NA
N4038	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Ferrimonadaceae	Paraferrimonas
N4047	Bacteria	NA	NA	NA	NA	NA
N4053	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4054	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Peredibacter
N4065	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Reichenbachiella
N4067	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NA
N4069	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
N4073	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4082	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N4084	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
N4095	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Nitrosococcus
N4098	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella
N4111	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA
N4113	Bacteria	Verrucomicrobia	Opitutae	MB11C04_marine_group	NA	NA
N4114	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AT-s3-44	NA
N4124	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	NA
N4129	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade	SAR202_Clade	NA
N4132	Bacteria	Proteobacteria	Deltaproteobacteria	Sh765B-TzT-29	NA	NA
N4133	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	OM182_clade	NA
N4141	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4161	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4164	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ic	NA
N4166	Bacteria	Proteobacteria	Gammaproteobacteria	KI89A_clade	NA	NA
N4167	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	NA
N4173	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
N4186	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella
N4189	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N4190	Bacteria	Verrucomicrobia	Opitutae	MB11C04_marine_group	NA	NA
N4201	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4204	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	NA
N4205	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	NA
N4206	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NA
N4214	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Pseudofulvibacter
N4229	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Roseibacillus
N4230	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12	NA
N4232	Bacteria	Proteobacteria	AEGEAN-245	NA	NA	NA
N4233	Bacteria	NA	NA	NA	NA	NA
N4234	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	NA	NA
N4243	Bacteria	Proteobacteria	Gammaproteobacteria	Order_Incertae_Sedis	Family_Incertae_Sedis	Marinicella
N4246	Bacteria	Proteobacteria	Gammaproteobacteria	KI89A_clade	NA	NA
N4247	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Salinirepens
N4249	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4272	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Rubripirellula
N4274	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4277	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA
N4278	Bacteria	Verrucomicrobia	Arctic97B-4_marine_group	NA	NA	NA
N4279	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	NA
N4281	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	BD1-7_clade
N4287	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N4289	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	NA
N4290	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4294	Bacteria	NA	NA	NA	NA	NA
N4305	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4319	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ib	NA
N4320	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	FS140-16B-02_marine_group
N4321	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	NA
N4324	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
N4329	Bacteria	Verrucomicrobia	Arctic97B-4_marine_group	NA	NA	NA
N4340	Bacteria	Proteobacteria	Deltaproteobacteria	Sh765B-TzT-29	NA	NA
N4342	Bacteria	Proteobacteria	Alphaproteobacteria	DB1-14	NA	NA
N4343	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N4344	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_IIIa	NA
N4345	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Fulvivirga
N4346	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	NA
N4362	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27_clade
N4368	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA
N4370	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	NA
N4372	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	P3OB-42	NA
N4373	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
N4374	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ic	NA
N4382	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ic	NA
N4384	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NA
N4385	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetovibrio
N4387	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	NA	NA
N4388	Bacteria	Verrucomicrobia	Opitutae	MB11C04_marine_group	NA	NA
N4403	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	NA
N4404	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	DEV007	NA
N4411	Bacteria	Proteobacteria	Gammaproteobacteria	Order_Incertae_Sedis	Family_Incertae_Sedis	Marinicella
N4412	Bacteria	NA	NA	NA	NA	NA
N4421	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	LWSR-14	NA
N4422	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N4423	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
N4424	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA
N4428	Bacteria	Verrucomicrobia	Arctic97B-4_marine_group	NA	NA	NA
N4450	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4453	Bacteria	Gracilibacteria	NA	NA	NA	NA
N4455	Bacteria	Verrucomicrobia	Opitutae	Puniceicoccales	Puniceicoccaceae	Coraliomargarita
N4457	Bacteria	Verrucomicrobia	Arctic97B-4_marine_group	NA	NA	NA
N4463	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4471	Bacteria	SHA-109	NA	NA	NA	NA
N4472	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Crocinitomix
N4473	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Colwellia
N4474	Bacteria	Gemmatimonadetes	Gemmatimonadetes	BD2-11_terrestrial_group	NA	NA
N4477	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	JTB255_marine_benthic_group	NA
N4481	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
N4493	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4496	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae	NA
N4498	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	OM182_clade	NA
N4502	Bacteria	Verrucomicrobia	Arctic97B-4_marine_group	NA	NA	NA
N4503	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Defluviicoccus
N4506	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
