datetime,lat,lon,p,t,s,o2_t,fchl,fdom,par,tilt,tilt_std,o2_c,bbp,chla_adj,sigma,poc,cphyto
2016-07-18 05:21:31,48.3353,-38.8127,0.0,16.892,35.726,nan,1.604664,1.90119,-0.00836595355654,10.3,nan,nan,0.00264665538183,0.683475862069,26.1014208714,79.3498269351,44.3852214078
2016-07-18 05:21:31,48.3353,-38.8127,2.0,16.905,35.721,nan,1.660866,1.91616,-0.00792095602694,6.1,nan,nan,0.00238791678903,0.707700862069,26.0945691134,70.184788501,40.1037747049
2016-07-18 05:21:31,48.3353,-38.8127,4.0,16.91,35.721,nan,1.651176,1.88123,-0.00881095108614,5.7,2.22,nan,0.00242026610878,0.703524137931,26.0934598327,71.3306661051,40.6390713025
2016-07-18 05:21:31,48.3353,-38.8127,6.0,16.911,35.721,nan,1.674432,1.8962,-0.00836595355654,5.1,2.19,nan,0.00253077971398,0.713548275862,26.0933032261,75.2452790287,42.4677823019
2016-07-18 05:21:31,48.3353,-38.8127,8.0,16.91,35.721,nan,1.672494,1.90618,-0.00836595355654,4.2,1.91,nan,0.00236635743442,0.712712931034,26.093622996,69.4211130419,39.7470237977
2016-07-18 05:21:31,48.3353,-38.8127,10.0,16.911,35.721,nan,1.687998,1.88622,-0.00747595849733,4.0,1.87,nan,0.00243104866642,0.719395689655,26.0934664155,71.7126058618,40.8174944181
2016-07-18 05:21:31,48.3353,-38.8127,12.0,16.913,35.721,nan,1.655052,1.89121,-0.00792095602694,3.4,1.35,nan,0.00243644117912,0.705194827586,26.0930613392,71.9036194469,40.9067263935
2016-07-18 05:21:31,48.3353,-38.8127,14.0,16.911,35.721,nan,1.730634,1.86626,-0.00836595355654,3.3,1.22,nan,0.00228819067936,0.737773275862,26.0936089884,66.6522902443,38.4535685303
2016-07-18 05:21:31,48.3353,-38.8127,16.0,16.911,35.721,nan,1.70544,1.88622,-0.00836595355654,3.0,1.36,nan,0.00240678976295,0.726913793103,26.0936802853,70.8533069834,40.4160730409
2016-07-18 05:21:31,48.3353,-38.8127,18.0,16.914,35.722,nan,1.711254,1.90119,-0.00792095602694,3.2,1.47,nan,0.00242565780004,0.729419827586,26.0938046712,71.5216505931,40.7282896851
2016-07-18 05:21:31,48.3353,-38.8127,20.0,16.913,35.723,nan,1.786836,1.8962,-0.00792095602694,2.4,1.66,nan,0.00245260884801,0.761998275862,26.0948817533,72.4763106141,41.1742590097
2016-07-18 05:21:31,48.3353,-38.8127,22.0,16.911,35.724,nan,1.839162,1.91117,-0.00792095602694,2.3,0.83,nan,0.0023933051942,0.784552586207,26.0962318521,70.3756565889,40.1929387113
2016-07-18 05:21:31,48.3353,-38.8127,24.0,16.884,35.738,nan,2.23839,1.93113,-0.00836595355654,2.6,0.6,nan,0.00237168494328,0.95663362069,26.1135114975,69.6098240609,39.8351801296
2016-07-18 05:21:31,48.3353,-38.8127,26.0,16.839,35.755,nan,2.779092,1.95109,-0.00881095108614,2.5,0.88,nan,0.00250637746714,1.18969482759,26.1373660791,74.3809026411,42.0639889669
2016-07-18 05:21:31,48.3353,-38.8127,28.0,16.818,35.764,nan,2.932194,1.95608,-0.00925594861575,2.5,0.53,nan,0.00256833280572,1.25568706897,26.1493681495,76.5754846443,43.0891877099
2016-07-18 05:21:31,48.3353,-38.8127,30.0,16.807,35.769,nan,3.102738,1.96606,-0.00881095108614,2.4,0.61,nan,0.00261143826211,1.32919741379,26.1559232552,78.1023661205,43.8024702246
2016-07-18 05:21:31,48.3353,-38.8127,32.0,16.802,35.774,nan,3.191886,1.95109,-0.00925594861575,2.3,0.4,nan,0.00247934551445,1.36762327586,26.1610455285,73.4233768128,41.6166808809
2016-07-18 05:21:31,48.3353,-38.8127,34.0,16.796,35.777,nan,3.019404,1.96606,-0.00925594861575,2.5,0.55,nan,0.00237151576761,1.29327758621,26.1648691964,69.6038315202,39.8323807148
2016-07-18 05:21:31,48.3353,-38.8127,36.0,16.795,35.778,nan,2.843046,1.96107,-0.00970094614535,2.3,0.4,nan,0.00224213164927,1.2172612069,26.1659712023,65.0207872803,37.691412099
2016-07-18 05:21:31,48.3353,-38.8127,38.0,16.79,35.779,nan,2.660874,1.97105,-0.00925594861575,2.4,0.28,nan,0.00213161223169,1.1387387931,26.168021728,61.1059684711,35.8626049201
2016-07-18 05:21:31,48.3353,-38.8127,40.0,16.758,35.792,nan,1.938,1.96107,-0.00970094614535,2.4,0.24,nan,0.00187009636339,0.827155172414,26.185684112,51.8425533841,31.5352015745
2016-07-18 05:21:31,48.3353,-38.8127,42.0,16.534,35.869,nan,1.131792,1.99101,-0.00925594861575,2.4,0.14,nan,0.00147887877647,0.479651724138,26.2977722389,37.9848440201,25.0615741595
2016-07-18 05:21:31,48.3353,-38.8127,44.0,16.303,35.917,nan,0.86241,2.01097,-0.00881095108614,2.3,0.27,nan,0.00113893519775,0.363538793103,26.3888094479,25.9433625746,19.436397418
2016-07-18 05:21:31,48.3353,-38.8127,46.0,16.067,35.963,nan,0.62016,2.00099,-0.00925594861575,2.3,0.18,nan,0.00094184513113,0.259120689655,26.4790211136,18.9620382349,16.1750725157
2016-07-18 05:21:31,48.3353,-38.8127,48.0,15.893,35.976,nan,0.47481,1.98103,-0.00925594861575,2.5,0.15,nan,0.000885050973123,0.196469827586,26.5291672301,16.95027557,15.2352778066
2016-07-18 05:21:31,48.3353,-38.8127,50.0,15.762,35.982,nan,0.405042,1.92614,-0.00881095108614,2.3,0.19,nan,0.000855265674002,0.166397413793,26.5638532145,15.8952207045,14.7424090415
2016-07-18 05:21:31,48.3353,-38.8127,52.0,15.73,35.981,nan,0.372096,1.93612,-0.00925594861575,2.3,0.12,nan,0.000830979528683,0.152196551724,26.5704683587,15.034956865,14.3405368829
2016-07-18 05:21:31,48.3353,-38.8127,54.0,15.668,35.982,nan,0.315894,1.92614,-0.00925594861575,2.4,0.11,nan,0.000822832919315,0.127971551724,26.5854375523,14.746387668,14.205731814
2016-07-18 05:21:31,48.3353,-38.8127,56.0,15.622,35.992,nan,0.25194,1.91117,-0.00925594861575,2.3,0.13,nan,0.000833546770834,0.100405172414,26.6036713677,15.1258937165,14.3830180231
2016-07-18 05:21:31,48.3353,-38.8127,58.0,15.607,35.997,nan,0.220932,1.89121,-0.00925594861575,2.4,0.12,nan,0.000698748601529,0.0870396551724,26.6110105893,10.3510729634,12.1524610301
2016-07-18 05:21:31,48.3353,-38.8127,60.0,15.55,35.996,nan,0.209304,1.88622,-0.00925594861575,2.4,0.1,nan,0.000660961209228,0.0820275862069,26.6232393703,9.01256795327,11.5271785609
2016-07-18 05:21:31,48.3353,-38.8127,62.0,15.437,35.992,nan,0.187986,1.90119,-0.00925594861575,2.4,0.08,nan,0.000744422057012,0.0728387931034,26.6457544958,11.9689181035,12.9082372105
2016-07-18 05:21:31,48.3353,-38.8127,64.0,15.394,35.991,nan,0.170544,1.91117,-0.00881095108614,2.4,0.08,nan,0.000647347712754,0.0653206896552,26.6547458701,8.53035068117,11.3019108149
2016-07-18 05:21:31,48.3353,-38.8127,66.0,15.379,35.989,nan,0.172482,1.90119,-0.00970094614535,2.3,0.06,nan,0.000720114966174,0.0661560344828,26.6566616503,11.1079123318,12.5060184583
2016-07-18 05:21:31,48.3353,-38.8127,68.0,15.324,35.983,nan,0.153102,1.90618,-0.00925594861575,2.4,0.07,nan,0.000674254446596,0.0578025862069,26.6644674751,9.48344100734,11.7471468566
